Facility Name,Address,Type of Facility,Direction,Postal Code,latitude,longitude
Wellington Primary School Field,10 Wellington Circle Singapore 757702,Free To Play Field,North,757702,1.32181250780475,103.865404167629
Wellington Primary School Hall,10 Wellington Circle Singapore 757702,School Sport Hall,North,757702,1.36693830877349,103.894114899795
West View Primary School Hall,31 Senja Road Singapore 677742,School Sport Hall,West,677742,1.35099779872539,103.707593724342
Westwood Secondary School Field,11 Jurong West Street 25 Singapore 648350,School Field,West,648350,1.30705061123433,103.886917922608
Westwood Secondary School Hall,11 Jurong West Street 25 Singapore 648350,School Sport Hall,West,648350,1.30705061123433,103.886917922608
White Sands Primary School Hall,2 Pasir Ris Street 11 Singapore 519075,School Sport Hall,East,519075,1.33820397704287,103.718089546664
Woodgrove Primary School Hall,2 Woodlands Drive 14 Singapore 738079,School Sport Hall,North,738079,1.43273620725049,103.79023031392
Woodgrove Secondary School Field,3 Woodlands Avenue 6 Singapore 738990,School Field,North,738990,1.30705061123433,103.886917922608
Woodgrove Secondary School Hall,3 Woodlands Avenue 6 Singapore 738990,School Sport Hall,North,738990,1.30705061123433,103.886917922608
Woodlands ActiveSG Gym,3 Woodlands Street 13 Singapore 738600,Gym,North,738600,1.3322292265707,103.720201115434
Woodlands Primary School Hall,10 Woodlands Drive 50 Singapore 738853,School Sport Hall,North,738853,1.4426347903311,103.800040119743
Woodlands Ring Primary School Field,11 Woodlands Ring Road Singapore 738240,Free To Play Field,North,738240,1.4426347903311,103.800040119743
Woodlands Ring Secondary School Field,10 Woodlands Ring Road Singapore 738239,School Field,North,738239,1.44589068910993,103.802398196596
Woodlands Secondary School Field,11 Marsiling Road Singapore 739111,School Field,North,739111,1.44589068910993,103.802398196596
Woodlands Secondary School Hall,11 Marsiling Road Singapore 739111,School Sport Hall,North,739111,1.44589068910993,103.802398196596
Woodlands Sport Centre,1 Woodlands Street 13 Singapore 738597,Sport Centre,North,738597,1.4350799762723,103.780505107227
Woodlands Sport Hall,2 Woodlands Street 12 Singapore 738620,Sport Hall,North,738620,1.4341397536544,103.77985009679
Woodlands Stadium,1 Woodlands Street 13 Singapore 738597,Stadium,North,738597,1.43497615177209,103.78041404335
Woodlands Swimming Complex,3 Woodlands Street 13 Singapore 738600,Swimming Pool,North,738600,1.43449712110305,103.77936371276
Xingnan Primary School Field,5 Jurong West Street 91 Singapore 649036,Free To Play Field,West,649036,1.32181250780475,103.865404167629
Xingnan Primary School Hall,5 Jurong West Street 91 Singapore 649036,School Sport Hall,West,649036,1.36693830877349,103.894114899795
