Facility Name,Address,Type of Facility,Direction,Postal Code,latitude,longitude
Delta ActiveSG Gym,900 Tiong Bahru Road Singapore 158790,Gym,Central,158790,1.3322292265707,103.720201115434
Delta Hockey Pitch,900 Tiong Bahru Road Singapore 158790,N/A,Central,158790,1.29152093419241,103.826999371244
Delta Outdoor Courts,900 Tiong Bahru Road Singapore 158790,N/A,Central,158790,1.29152093419241,103.826999371244
Delta Sport Centre,900 Tiong Bahru Road Singapore 158790,Sport Centre,Central,158790,1.29052498417749,103.820588112164
Delta Sport Hall,900 Tiong Bahru Road Singapore 158790,Sport Hall,Central,158790,1.29049546240196,103.820437113779
Delta Swimming Complex,900 Tiong Bahru Road Singapore 158790,Swimming Pool,Central,158790,1.28918220601864,103.819992905046
Deyi Secondary School Field,1 Ang Mo Kio Street 42 Singapore 569277,School Field,North,569277,1.30705061123433,103.886917922608
Deyi Secondary School Hall,1 Ang Mo Kio Street 42 Singapore 569277,School Sport Hall,North,569277,1.30705061123433,103.886917922608
Dunearn Secondary School Field,21 Bukit Batok West Avenue 2 Singapore 659204,School Field,West,659204,1.30705061123433,103.886917922608
Dunearn Secondary School Hall,21 Bukit Batok West Avenue 2 Singapore 659204,School Sport Hall,West,659204,1.30705061123433,103.886917922608
Dunman High School Hall,10 Tanjong Rhu Road Singapore 436895,School Sport Hall,East,436895,1.33118107926966,103.941853465631
Dunman Secondary School Field,21 Tampines Street 45 Singapore 529093,School Field,East,529093,1.30705061123433,103.886917922608
East Spring Primary School Field,31 Tampines Street 33 Singapore 529258,Free To Play Field,East,529258,1.33659726465816,103.736089481883
East Spring Primary School Hall,31 Tampines Street 33 Singapore 529258,School Sport Hall,East,529258,1.35268400746357,103.961676849165
East Spring Secondary School Field,30 Tampines Street 34 Singapore 529231,School Field,East,529231,1.3431198045076,103.742628105304
Edgefield Primary School Hall,41 Edgefield Plains Singapore 828869,School Sport Hall,Northeast,828869,1.40009139510996,103.907847599114
Edgefield Secondary School Hall,36 Punggol Field Singapore 828814,School Sport Hall,Northeast,828814,1.30705061123433,103.886917922608
Elias Park Primary School Field,11 Pasir Ris Street 52 Singapore 518866,Free To Play Field,East,518866,1.37505696315817,103.945289416873
Eunoia Junior College Field,2 Sin Ming Place Singapore 573838,School Field,Northeast,573838,1.30304255193392,103.785358436408
Evergreen Primary School Field,31 Woodlands Circle Singapore 738908,Free To Play Field,North,738908,1.32181250780475,103.865404167629
Evergreen Primary School Hall,31 Woodlands Circle Singapore 738908,School Sport Hall,North,738908,1.44415332824735,103.794577787757
Fairfield Methodist Primary School Hall,100 Dover Road Singapore 139648,School Sport Hall,Central,139648,1.30100441916733,103.785455606827
Fairfield Methodist Secondary School Hall,102 Dover Road Singapore 139649,School Sport Hall,Central,139649,1.30100441916733,103.785455606827
Fengshan Primary School Field,307 Bedok North Road Singapore 469680,Free To Play Field,East,469680,1.32181250780475,103.865404167629
Fengshan Primary School Hall,307 Bedok North Road Singapore 469680,School Sport Hall,East,469680,1.32980598760785,103.931710293058
Fern Green Primary School Hall,70 Fernvale Link Singapore 797538,School Sport Hall,Northeast,797538,1.29418347842837,103.836018941571
First Toa Payoh Primary School Hall,7 Lorong 8 Toa Payoh Singapore 319252,School Sport Hall,Central,319252,1.34032299499938,103.855529906182
Frontier Primary School Hall,20 Jurong West Street 61 Singapore 648200,School Sport Hall,West,648200,1.33641298743234,103.69970173931
Fuhua Primary School Field,65 Jurong East Street 13 Singapore 609647,Free To Play Field,West,609647,1.33659726465816,103.736089481883
Fuhua Secondary School Field,5 Jurong West Street 41 Singapore 649410,School Field,West,649410,1.30705061123433,103.886917922608
Fuhua Secondary School Hall,5 Jurong West Street 41 Singapore 649410,School Sport Hall,West,649410,1.30705061123433,103.886917922608
Gan Eng Seng Primary School Field,100 Redhill Close Singapore 158901,Free To Play Field,Central,158901,1.44415332824735,103.794577787757
Gan Eng Seng Primary School Hall,100 Redhill Close Singapore 158901,School Sport Hall,Central,158901,1.28559516494962,103.815547410064
Geylang East Swimming Complex,601 Aljunied Avenue 1 Singapore 389862,Swimming Pool,Central,389862,1.32098534286127,103.88775333787
Greendale Primary School Hall,50 Edgedale Plains Singapore 828848,School Sport Hall,Northeast,828848,1.39648195114256,103.91233462071
Greenridge Secondary School Field,31 Gangsa Road Singapore 678972,School Field,West,678972,1.30705061123433,103.886917922608
Greenridge Secondary School Hall,31 Gangsa Road Singapore 678972,School Sport Hall,West,678972,1.30705061123433,103.886917922608
Greenwood Primary School Field,11 Woodlands Drive 62 Singapore 737942,Free To Play Field,North,737942,1.32181250780475,103.865404167629
Greenwood Primary School Hall,11 Woodlands Drive 62 Singapore 737942,School Sport Hall,North,737942,1.43989958331782,103.804725587384
Hai Sing Catholic School Field,15 Pasir Ris Street 21 Singapore 518969,School Field,East,518969,1.3743371707478,103.954544548905
Haig Girls' School Field,51 Koon Seng Road Singapore 427072,Free To Play Field,East,427072,1.30204285168966,103.850158990196
Haig Girls' School Hall,51 Koon Seng Road Singapore 427072,School Sport Hall,East,427072,1.30204285168966,103.850158990196
Heartbeat @ Bedok ActiveSG Gym,"Level 6 Heartbeat@Bedok, 11 Bedok North Street 1 Singapore 469662",Gym,East,469662,1.3322292265707,103.720201115434
Heartbeat @ Bedok ActiveSG Sport Centre,11 Bedok North Street 1 Singapore 469662,Sport Centre,East,469662,1.3322292265707,103.720201115434
Heartbeat @ Bedok ActiveSG Sport Hall,"Level 4Heartbeat@Bedok, 11 Bedok North Street 1 Singapore 469662",Sport Hall,East,469662,1.3322292265707,103.720201115434
Heartbeat @ Bedok ActiveSG Swimming Complex,"Level 5 Heartbeat@Bedok,11 Bedok North Street 1Singapore 469662",Swimming Pool,East,469662,1.32714145116687,103.932289297803
Heartbeat @ Bedok ActiveSG Tennis Centre,"Level 7Heartbeat@Bedok, 11 Bedok North Street 1 Singapore 469662",N/A,East,469662,1.32636975557331,103.936775144787
Henry Park Primary School Hall,1 Holland Grove Road Singapore 278790,School Sport Hall,Central,278790,1.37451269377776,103.945128117139
Hillgrove Secondary School Hall,10 Bukit Batok Street 52 Singapore 659250,School Sport Hall,West,659250,1.30705061123433,103.886917922608
Home of Athletics,8 Stadium Boulevard Singapore 397804,N/A,East,397804,1.30541223530824,103.879479167737
Hougang Primary School Field,1 Hougang Street 93 Singapore 534238,Free To Play Field,Northeast,534238,1.37820062547641,103.894667159512
Hougang Primary School Hall,1 Hougang Street 93 Singapore 534238,School Sport Hall,Northeast,534238,1.37820062547641,103.894667159512
Hougang Secondary School Field,2 Hougang Street 93 Singapore 534256,School Field,Northeast,534256,1.30705061123433,103.886917922608
Hougang Secondary School Hall,2 Hougang Street 93 Singapore 534256,School Sport Hall,Northeast,534256,1.40059309981824,103.902687385465
Hougang Sport Centre,93 Hougang Avenue 4 Singapore 538832,Sport Centre,Northeast,538832,1.3704490003523,103.888075069741
Hua Yi Secondary School Field,60 Jurong West Street 42 Singapore 649371,School Field,West,649371,1.30705061123433,103.886917922608
Hua Yi Secondary School Hall,60 Jurong West Street 42 Singapore 649371,School Sport Hall,West,649371,1.30705061123433,103.886917922608
Huamin Primary School Field,21 Yishun Ave 11 Singapore 768857,School Field,North,768857,1.32181250780475,103.865404167629
Innova Primary School Field,80 Woodlands Drive 17 Singapore 737888,Free To Play Field,North,737888,1.32181250780475,103.865404167629
Innova Primary School Hall,80 Woodlands Drive 17 Singapore 737888,School Sport Hall,North,737888,1.36693830877349,103.894114899795
Jalan Besar ActiveSG Gym,100 Tyrwhitt Road Singapore 207542,Gym,Central,207542,1.31133525844231,103.85944189656
Jalan Besar Sport Centre,100 Tyrwhitt Road Singapore 207542,Sport Centre,Central,207542,1.30952190174503,103.860211336261
Jalan Besar Stadium,100 Tyrwhitt Road Singapore 207542,Stadium,Central,207542,1.31030888864366,103.859409272615
Jalan Besar Swimming Complex,100 Tyrwhitt Road Singapore 207542,Swimming Pool,Central,207542,1.31095629117606,103.859973806051
Jiemin Primary School Hall,2 Yishun Street 71 Singapore 768515,School Sport Hall,North,768515,1.36693830877349,103.894114899795
Junyuan Primary School Hall,2 Tampines Street 91 Singapore 528906,School Sport Hall,East,528906,1.34787074766746,103.939221709073
Junyuan Secondary School Hall,11 Tampines Street 84 Singapore 528933,School Sport Hall,East,528933,1.40059309981824,103.902687385465
Jurong East ActiveSG Gym,21 Jurong East Street 31 Singapore 609517,Gym,West,609517,1.3322292265707,103.720201115434
Jurong East Gateball Court,21 Jurong East Street 31 Singapore 609517,N/A,West,609517,1.34896591258309,103.732166480852
Jurong East Petanque Courts,21 Jurong East Street 31 Singapore 609517,N/A,West,609517,1.34896591258309,103.732166480852
Jurong East Sport Centre,21 Jurong East Street 31 Singapore 609517,Sport Centre,West,609517,1.34678602803049,103.729259406684
Jurong East Sport Centre - Futsal Pitch,21 Jurong East Street 31 Singapore 609517,N/A,West,609517,1.35278230564611,103.707170922763
Jurong East Sport Hall,21 Jurong East Street 31 Singapore 609517,Sport Hall,West,609517,1.34679361539209,103.729228629547
Jurong East Stadium,21 Jurong East Street 31 Singapore 609517,Stadium,West,609517,1.34667115284443,103.729448720244
Jurong East Swimming Complex,21 Jurong East Street 31 Singapore 609517,Swimming Pool,West,609517,1.34621561735236,103.728835247255
Jurong Lake Gardens ActiveSG Gym,30 Yuan Ching Road Singapore 618664,Gym,West,618664,1.32911028642206,103.731055968398
Jurong Lake Gardens Pool,30 Yuan Ching Road Singapore 618664,Swimming Pool,West,618664,1.32911028642206,103.731055968398
Jurong Secondary School Hall,31 Yuan Ching Road Singapore 618652,School Sport Hall,West,618652,1.34272216334333,103.701891453912
Jurong West ActiveSG Gym,20 Jurong West Street 93 Singapore 648965,Gym,West,648965,1.3322292265707,103.720201115434
Jurong West Secondary School Field,61 Jurong West Street 65 Singapore 648348,School Field,West,648348,1.34272216334333,103.701891453912
Jurong West Secondary School Hall,61 Jurong West Street 65 Singapore 648348,School Sport Hall,West,648348,1.34272216334333,103.701891453912
Jurong West Sport Centre,20 Jurong West Street 93 Singapore 648965,Sport Centre,West,648965,1.33823750104445,103.693854311183
Jurong West Sport Centre - ActiveGroove Dance Zone,20 Jurong West Street 93 Singapore 648965,N/A,West,648965,1.34995541024281,103.717704811514
Jurong West Sport Hall,20 Jurong West Street 93 Singapore 648965,Sport Hall,West,648965,1.33841807201419,103.693768895177
Jurong West Stadium,20 Jurong West Street 93 Singapore 648965,Stadium,West,648965,1.33854905214165,103.694120770174
Jurong West Swimming Complex,20 Jurong West Street 93 Singapore 648965,Swimming Pool,West,648965,1.33795433505325,103.693974035783
Jurong West Tennis Centre,20 Jurong West Street 93 Singapore 648965,N/A,West,648965,1.32636975557331,103.936775144787
Jurongville Secondary School Field,202 Jurong East Avenue 1 Singapore 609790,School Field,West,609790,1.30705061123433,103.886917922608
Jurongville Secondary School Hall,202 Jurong East Avenue 1 Singapore 609790,School Sport Hall,West,609790,1.30705061123433,103.886917922608
Juying Secondary School Field,33 Jurong West Street 91 Singapore 649038,School Field,West,649038,1.30705061123433,103.886917922608
Juying Secondary School Hall,33 Jurong West Street 91 Singapore 649038,School Sport Hall,West,649038,1.30705061123433,103.886917922608
Kallang Basin ActiveSG Gym,21 Geylang Bahru Lane Singapore 339627,Gym,Central,339627,1.3322292265707,103.720201115434
Kallang Basin Swimming Complex,21 Geylang Bahru Lane Singapore 339627,Swimming Pool,Central,339627,1.32262785972468,103.87250088281
Kallang Lawn Bowl,8 Stadium Boulevard Singapore 397804,N/A,East,397804,1.37087487927545,103.696036717034
Kallang Netball Centre,6 Stadium Boulevard Singapore 397797,N/A,East,397797,1.30601149715836,103.879653381363
Kallang Sport Centre,8 Stadium Boulevard Singapore 397804,Sport Centre,East,397804,1.30435821251939,103.869935831599
Kallang Squash Centre,8 Stadium Boulevard Singapore 397804,N/A,East,397804,1.30544465643506,103.879557028459
Kallang Tennis Centre,8 Stadium Boulevard Singapore 397804,N/A,East,397804,1.30544465643506,103.879557028459
Katong ActiveSG Gym,111 Wilkinson Road Singapore 436752,Gym,East,436752,1.3322292265707,103.720201115434
Katong Petanque Courts,111 Wilkinson Road Singapore 436752,N/A,East,436752,1.37362336122117,103.933805893357
Katong Swimming Complex,111 Wilkinson Road Singapore 436752,Swimming Pool,East,436752,1.3020446255491,103.886179163437
Keming Primary School Field,90 Bukit Batok East Avenue 6 Singapore 659762,Free To Play Field,West,659762,1.32181250780475,103.865404167629
Keming Primary School Hall,90 Bukit Batok East Avenue 6 Singapore 659762,School Sport Hall,West,659762,1.36693830877349,103.894114899795
Kent Ridge Secondary School Field,147 West Coast Rd Singapore 127368,School Field,Central,127368,1.40059309981824,103.902687385465
Kranji Primary School Hall,11 Choa Chu Kang Street 54 Singapore 689189,School Sport Hall,West,689189,1.36693830877349,103.894114899795
Kranji Secondary School Field,61 Choa Chu Kang Street 51 Singapore 689333,School Field,West,689333,1.30705061123433,103.886917922608
Kranji Secondary School Hall,61 Choa Chu Kang Street 51 Singapore 689333,School Sport Hall,West,689333,1.30705061123433,103.886917922608
Kuo Chuan Presbyterian Primary School Hall,8 Bishan Street 13 Singapore 579793,School Sport Hall,Northeast,579793,1.34978223750981,103.85452928785
Kuo Chuan Presbyterian Secondary School Hall,10 Bishan Street 13 Singapore 579795,School Sport Hall,Northeast,579795,1.40059309981824,103.902687385465
Lakeside Primary School Field,161 Corporation Walk Singapore 618310,Free To Play Field,West,618310,1.32181250780475,103.865404167629
Lakeside Primary School Hall,161 Corporation Walk Singapore 618310,School Sport Hall,West,618310,1.44415332824735,103.794577787757
Lianhua Primary School Hall,2 Bukit Batok Street 52 Singapore 659243,School Sport Hall,West,659243,1.36693830877349,103.894114899795
Loyang View Secondary School Hall,12 Pasir Ris Street 11 Singapore 519073,School Sport Hall,East,519073,1.32415704029686,103.943776245024
Manjusri Secondary School Field,20 Ubi Ave 1 Singapore 408940,School Field,Central,408940,1.30705061123433,103.886917922608
Marsiling Primary School Hall,31 Woodlands Centre Road Singapore 738927,School Sport Hall,North,738927,1.36693830877349,103.894114899795
Marsiling Secondary School Hall,12 Marsiling Rd Singapore 739110,School Sport Hall,North,739110,1.40059309981824,103.902687385465
Mayflower Secondary School Field,2 Ang Mo Kio Street 21 Singapore 569384,School Field,North,569384,1.30705061123433,103.886917922608
Mayflower Secondary School Hall,2 Ang Mo Kio Street 21 Singapore 569384,School Sport Hall,North,569384,1.30705061123433,103.886917922608
Meridian Primary School Field,20 Pasir Ris Street 71 Singapore 518798,Free To Play Field,East,518798,1.32181250780475,103.865404167629
Meridian Primary School Hall,20 Pasir Ris Street 71 Singapore 518798,School Sport Hall,East,518798,1.36693830877349,103.894114899795
Meridian Secondary School Field,31 Pasir Ris Street 51 Singapore 518901,School Field,East,518901,1.30705061123433,103.886917922608
Meridian Secondary School Hall,31 Pasir Ris Street 51 Singapore 518901,School Sport Hall,East,518901,1.30705061123433,103.886917922608
Methodist Girls' School Hall (Primary),11 Blackmore Drive Singapore 599986,School Sport Hall,Central,599986,1.33266213599636,103.783382114018
MOE (Evans) Hockey Pitch,21 Evans Road Singapore 259366,N/A,Central,259366,1.34749841015121,103.71119757097
MOE (Evans) Outdoor Facilities,21 Evans Road Singapore 259366,N/A,Central,259366,1.43720782556294,103.726345659883
MOE (Evans) Sport Hall,21 Evans Road Singapore 259366,Sport Hall,Central,259366,1.3322292265707,103.720201115434
MOE (Evans) Squash Centre,21 Evans Road Singapore 259366,N/A,Central,259366,1.28782242065805,103.809807496033
MOE (Evans) Stadium,21 Evans Road Singapore 259366,Stadium,Central,259366,1.35350885002149,103.852298509707
MOE (Evans) Swimming Complex,21 Evans Road Singapore 259366,Swimming Pool,Central,259366,1.3543257600466,103.850274859117
MOE (Evans) Tennis Centre,21 Evans Road Singapore 259366,N/A,Central,259366,1.28782242065805,103.809807496033
Nan Chiau High School Field,20 Anchorvale Link Singapore 545079,Free To Play Field,Northeast,545079,1.3547230747166,103.844874676599
Nan Chiau High School Hall,20 Anchorvale Link Singapore 545079,School Sport Hall,Northeast,545079,1.3547230747166,103.844874676599
Nan Hua High School Field,41 Clementi Avenue 1 Singapore 129956,School Field,Central,129956,1.3547230747166,103.844874676599
Nan Hua High School Hall,41 Clementi Avenue 1 Singapore 129956,School Sport Hall,Central,129956,1.3547230747166,103.844874676599
Nanyang Primary School Hall,52 King's Road Singapore 268079,School Sport Hall,Central,268079,1.33820397704287,103.718089546664
Naval Base Secondary School Field,901 Yishun Ring Road Singapore 768689,School Field,North,768689,1.40059309981824,103.902687385465
Naval Base Secondary School Hall,901 Yishun Ring Road Singapore 768689,School Sport Hall,North,768689,1.31676468000651,104.021764952723
New Town Primary School Hall,300 Tanglin Halt Road Singapore 148812,School Sport Hall,Central,148812,1.32637897756011,103.745212052616
New Town Secondary School Hall,1020 Dover Road Singapore 139657,School Sport Hall,Central,139657,1.31553912945073,103.762020598524
North View Primary School Field,210 Yishun Avenue 6 Singapore 768960,Free To Play Field,North,768960,1.32980598760785,103.931710293058
North View Primary School Hall,210 Yishun Avenue 6 Singapore 768960,School Sport Hall,North,768960,1.32980598760785,103.931710293058
North Vista Primary School Hall,20 Compassvale Link Singapore 544974,School Sport Hall,Northeast,544974,1.32980598760785,103.931710293058
North Vista Secondary School Field,11 Rivervale Link Singapore 545081,School Field,Northeast,545081,1.341790284928,103.852280842345
North Vista Secondary School Hall,11 Rivervale Link Singapore 545081,School Sport Hall,Northeast,545081,1.341790284928,103.852280842345
Northbrooks Secondary School Hall,585 Yishun Ring Road Singapore 768692,School Sport Hall,North,768692,1.30705061123433,103.886917922608
Northland Primary School Field,15 Yishun Avenue 4 Singapore 769026,Free To Play Field,North,769026,1.32181250780475,103.865404167629
Northland Primary School Hall,15 Yishun Avenue 4 Singapore 769026,School Sport Hall,North,769026,1.33820397704287,103.718089546664
Northland Secondary School Hall,3 Yishun Street 22 Singapore 768578,School Sport Hall,North,768578,1.40059309981824,103.902687385465
Northoaks Primary School Hall,61 Sembawang Drive Singapore 757622,School Sport Hall,North,757622,1.33820397704287,103.718089546664
Oasis Primary School Hall,71 Edgefield Plains Singapore 828716,School Sport Hall,Northeast,828716,1.33820397704287,103.718089546664
Orchid Park Secondary School Field,10 Yishun Street 81 Singapore 768454,School Field,North,768454,1.30705061123433,103.886917922608
Our Tampines Hub - Community Auditorium,1 Tampines Walk Singapore 528523,Sport Hall,East,528523,1.35354740485205,103.940381104547
Our Tampines Hub - Team Sports Hall,1 Tampines Walk Singapore 528523,Sport Hall,East,528523,1.35354740485205,103.940381104547
Park View Primary School Field,60 Pasir Ris Drive 1 Singapore 519524,Free To Play Field,East,519524,1.34586054788695,103.75366641455
Park View Primary School Hall,60 Pasir Ris Drive 1 Singapore 519524,School Sport Hall,East,519524,1.34586054788695,103.75366641455
Pasir Ris 5-a-Side Soccer Field,120 Pasir Ris Central Singapore 519640,N/A,East,519640,1.38198806636194,103.945976464497
Pasir Ris ActiveSG Gym,120 Pasir Ris Central Singapore 519640,Gym,East,519640,1.38198806636194,103.945976464497
Pasir Ris Crest Secondary School Hall,11 Pasir Ris Street 41 Singapore 518934,School Sport Hall,East,518934,1.3431198045076,103.742628105304
Pasir Ris Secondary School Field,390 Tampines Street 21 Singapore 529400,School Field,East,529400,1.40059309981824,103.902687385465
Pasir Ris Secondary School Hall,390 Tampines Street 21 Singapore 529400,School Sport Hall,East,529400,1.36658417167238,103.956944585725
Pasir Ris Sport Centre,120 Pasir Ris Central Singapore 519640,Sport Centre,East,519640,1.37443844465036,103.95195282292
Pasir Ris Sport Hall,120 Pasir Ris Central Singapore 519640,Sport Hall,East,519640,1.38198806636194,103.945976464497
Pasir Ris Swimming Complex,120 Pasir Ris Central Singapore 519640,Swimming Pool,East,519640,1.37444845881068,103.951822500564
Pasir Ris Swimming Complex - ActiveGroove Dance Zone,120 Pasir Ris Central Singapore 519640,N/A,East,519640,1.3543257600466,103.850274859117
Pasir Ris Tennis Centre,120 Pasir Ris Central Singapore 519640,N/A,East,519640,1.32636975557331,103.936775144787
Pei Hwa Secondary School Field,21 Fernvale Link Singapore 797702,School Field,Northeast,797702,1.30705061123433,103.886917922608
Pei Tong Primary School Field,15 Clementi Avenue 5 Singapore 129857,Free To Play Field,Central,129857,1.32181250780475,103.865404167629
Peicai Secondary School Hall,10 Serangoon Avenue 4 Singapore 556094,School Sport Hall,Northeast,556094,1.30705061123433,103.886917922608
Peirce Secondary School Hall,10 Sin Ming Walk Singapore 575566,School Sport Hall,Northeast,575566,1.30705061123433,103.886917922608
Peiying Primary School Hall,651 Yishun Ring Road Singapore 768687,School Sport Hall,North,768687,1.41741627551251,103.830143209875
Pioneer Primary School Hall (Juying),31 Jurong West Street 91 Singapore 649037,School Sport Hall,West,649037,1.32181250780475,103.865404167629
Poi Ching School Hall,21 Tampines Street 71 Singapore 529067,School Sport Hall,East,529067,1.28664521659997,103.841721563836
Princess Elizabeth Primary School Hall,30 Bukit Batok West Avenue 3 Singapore 659163,School Sport Hall,West,659163,1.33820397704287,103.718089546664
Punggol Cove Primary School Field,52 Sumang Walk Singapore 828674,Free To Play Field,Northeast,828674,1.37820062547641,103.894667159512
Punggol Primary School Field,61 Hougang Avenue 8 Singapore 538787,Free To Play Field,Northeast,538787,1.37820062547641,103.894667159512
Punggol Secondary School Field,51 Edgefield Plains Singapore 828870,School Field,Northeast,828870,1.40059309981824,103.902687385465
Qifa Primary School Hall,50 West Coast Avenue Singapore 128104,School Sport Hall,Central,128104,1.3132658326807,103.756629101811
Qihua Primary School Hall,5 Woodlands Street 81 Singapore 738525,School Sport Hall,North,738525,1.33820397704287,103.718089546664
Queenstown Primary School Hall,310 Margaret Drive Singapore 149303,School Sport Hall,Central,149303,1.36693830877349,103.894114899795
Queenstown Sport Centre,473 Stirling Road Singapore 148948,Sport Centre,Central,148948,1.29672719982417,103.802435206972
Queensway Secondary School Field,2A Margaret Drive Singapore 149295,School Field,Central,149295,1.30705061123433,103.886917922608
Queensway Secondary School Hall,2A Margaret Drive Singapore 149295,School Sport Hall,Central,149295,1.30705061123433,103.886917922608
Radin Mas Primary School Field,1 Bukit Purmei Avenue Singapore 099840,Free To Play Field,Central,099840,1.26995224568504,103.824037317867
Radin Mas Primary School Hall,1 Bukit Purmei Avenue Singapore 099840,School Sport Hall,Central,099840,1.26995224568504,103.824037317867
Raffles Girls' Primary School Hall,21 Hillcrest Road Singapore 289072,School Sport Hall,Central,289072,1.29501383373269,103.85000246607
Red Swastika School Hall,350 Bedok North Avenue 3 Singapore 469719,School Sport Hall,East,469719,1.33405659580859,103.934317528484
