,ServiceNo,Operator,Direction,BusStopCode,RoadName,Description,Latitude,Longitude
23345,960e,SMRT,2,2101,Raffles Ave,Aft S'pore Flyer,1.28938483786533,103.86183148116277
23346,960e,SMRT,2,46541,Woodlands Ave 3,Marsiling Mall,1.43328331503309,103.78083569681785
23347,960e,SMRT,1,2049,Bras Basah Rd,Raffles Hotel,1.29452091230981,103.85402155505172
23348,960e,SMRT,1,2089,Raffles Blvd,Promenade Stn/Pan Pacific,1.29152694444975,103.8592061110504
23349,960e,SMRT,1,46549,Woodlands Ave 3,Blk 347,1.43319818915334,103.7812567265195
23350,960e,SMRT,1,46539,Woodlands Ave 3,Blk 320,1.43209962904173,103.7782236553492
23351,960e,SMRT,1,46529,Woodlands Ave 3,Opp Marsiling Stn,1.43208152770031,103.77459689006626
23352,960e,SMRT,1,46491,Woodlands Ave 3,Blk 402,1.43188974761143,103.77200799456398
23353,960e,SMRT,1,40239,Whitley Rd,BEF STEVENS STN EXIT 4,1.322585278,103.8262153
23354,960e,SMRT,1,40089,Dunearn Rd,AFT STEVENS STN EXIT 5,1.320510556,103.8273903
23355,960e,SMRT,1,40079,Dunearn Rd,Bef Swiss Cottage Est,1.3197216415795,103.8299145659947
23356,960e,SMRT,1,40119,Dunearn Rd,Bef Goldhill Ave,1.31889734253426,103.83249521257974
23357,960e,SMRT,1,40069,Dunearn Rd,Anglo-Chinese Sch,1.31830398893217,103.83435129198834
23358,960e,SMRT,1,46009,Woodlands Sq,Woodlands Int,1.436946,103.785936
23359,960e,SMRT,1,40049,Dunearn Rd,Opp Newton Stn Exit C,1.31402305600959,103.83884638900086
23360,960e,SMRT,1,40039,Bt Timah Rd,Opp Newton FC,1.31230305602353,103.8407255559936
23361,960e,SMRT,1,40029,Bt Timah Rd,Aft Makepeace Rd,1.31142305600915,103.84265999998344
23362,960e,SMRT,1,40279,Bt Timah Rd,Kk Women & Children Hosp,1.30981925741503,103.8460393043403
23363,960e,SMRT,1,40019,Bt Timah Rd,Little India Stn,1.30664404460339,103.84920416709382
23364,960e,SMRT,1,7539,Sungei Rd,Bef Rochor Stn Exit B,1.30461300741211,103.8520009720951
23365,960e,SMRT,1,7589,Ophir Rd,Ch of Our Lady of Lourdes,1.30320609782822,103.85549999983388
23366,960e,SMRT,1,1059,Victoria St,Bugis Stn Exit B,1.30075679526626,103.85611040457584
23367,960e,SMRT,1,1119,Victoria St,Aft Bugis Stn Exit C,1.2996041093804,103.85512934079571
23368,960e,SMRT,1,1019,Victoria St,Bras Basah Cplx,1.29698951191332,103.85302201172507
23369,960e,SMRT,1,40059,Dunearn Rd,Chancery Ct,1.31662138896806,103.83634361100415
23370,961,SMRT,2,11061,Queensway,Opp Queensway Sec Sch,1.30265777802206,103.80118694402536
23371,961,SMRT,2,11051,Queensway,Opp Queenstown Polyclinic,1.29872166703909,103.8002979755481
23372,961,SMRT,2,11041,Queensway,Aft C'wealth Dr,1.29624499998226,103.79952333299494
23373,961,SMRT,2,10101,Jln Bt Merah,OPP BT MERAH SEC SCH,1.28506195168861,103.8137833011436
23374,961,SMRT,2,11021,Queensway,Aft Queenstown NPC HQ,1.28941805603102,103.80228694398484
23375,961,SMRT,2,10131,Jln Bt Merah,Opp Blk 2,1.28619141382394,103.80686549059318
23376,961,SMRT,2,10111,Jln Bt Merah,Opp Blk 28,1.28592835098556,103.80935410958448
23377,961,SMRT,2,11031,Queensway,Opp Queen's Cl,1.29119666696879,103.80045500000118
23378,961,SMRT,2,11071,Queensway,Blk 97,1.30621305601609,103.80170944396954
23379,961,SMRT,2,11111,Farrer Rd,Farrer Rd Stn Exit B,1.31780157259006,103.80771866952544
23380,961,SMRT,2,11091,Farrer Rd,Leedon Green,1.31219444050072,103.80367378215983
23381,961,SMRT,2,11101,Farrer Rd,Empress Rd Mkt/FC,1.31614971080385,103.80596012189226
23382,961,SMRT,2,41101,Farrer Rd,St. Margaret's Sec Sch,1.31908138967253,103.80921733406132
23383,961,SMRT,2,41111,Farrer Rd,Lutheran Twrs,1.32081170217365,103.81185140010722
23384,961,SMRT,2,41031,Bt Timah Rd,Bef Crown Ctr,1.3230683576264,103.811977237669
23385,961,SMRT,2,41041,Bt Timah Rd,Coronation Plaza,1.32398472197176,103.8102991670086
23386,961,SMRT,2,41051,Bt Timah Rd,Tan Kah Kee Stn,1.32612500001248,103.80715333299844
23387,961,SMRT,2,10091,Jln Bt Merah,Bt Merah Town Ctr,1.28394108576437,103.81783962251122
23388,961,SMRT,2,11081,Queensway,Viz Holland,1.30851972202313,103.80258027799628
23389,961,SMRT,2,10081,Jln Bt Merah,Opp Blk 120,1.2822783541702,103.82241744338572
23390,961,SMRT,2,5029,Sth Bridge Rd,Boat Quay,1.28712283362119,103.84819780822524
23391,961,SMRT,2,10071,Jln Bt Merah,Blk 111,1.28045309423663,103.82638920754816
23392,961,SMRT,2,7379,Lavender St,Aperia/Bef Kallang Rd,1.31017336740849,103.86338225534828
23393,961,SMRT,2,1339,Crawford St,Bef Crawford Bridge,1.30774601733202,103.8642627465441
23394,961,SMRT,2,1329,Nth Bridge Rd,Blk 8,1.30495670239172,103.86363028484124
23395,961,SMRT,2,1239,Jln Sultan,Sultan Plaza,1.30291236608351,103.86161817611134
23396,961,SMRT,2,1529,Beach Rd,Plaza Parkroyal,1.30041667676526,103.86044115259938
23397,961,SMRT,2,1519,Beach Rd,The Gateway,1.29907492488417,103.8589102973441
23398,961,SMRT,2,1629,Beach Rd,Shaw Twrs,1.297085,103.856894
23399,961,SMRT,2,1619,Beach Rd,Esplanade Stn Exit F,1.29428694178246,103.85503809424232
23400,961,SMRT,2,4168,Nth Bridge Rd,Aft City Hall Stn Exit B,1.29208221483052,103.85125994680256
23401,961,SMRT,2,4249,Nth Bridge Rd,Opp The Treasury,1.29043039362749,103.850262165082
23402,961,SMRT,2,41061,Bt Timah Rd,Chinese High Sch,1.32705333303352,103.80572472199287
23403,961,SMRT,2,5131,Upp Cross St,Opp Hong Lim Cplx,1.284073056,103.8453381
23404,961,SMRT,2,5039,New Bridge Rd,New Bridge Ctr,1.28293819129834,103.84254276754574
23405,961,SMRT,2,5019,New Bridge Rd,Aft Duxton Plain Pk,1.28118388885484,103.84105000000471
23406,961,SMRT,2,5069,New Bridge Rd,OUTRAM PK STN EXIT 4,1.28027629959632,103.84029791443083
23407,961,SMRT,2,10011,New Bridge Rd,BEF NEIL RD,1.2777380589964,103.83749709165195
23408,961,SMRT,2,10041,Kg Bahru Rd,BEF KAMPONG BAHRU TER,1.27605834770353,103.83519065305671
23409,961,SMRT,2,10051,Jln Bt Merah,Blk 149,1.2774116353284,103.83214410914844
23410,961,SMRT,2,10061,Jln Bt Merah,Blk 140,1.27860472196885,103.82948638898172
23411,961,SMRT,2,10501,Jln Bt Merah,Blk 104,1.28105845355429,103.82528065411316
23412,961,SMRT,2,41071,Bt Timah Rd,Opp Natl JC,1.328988333013,103.80266277802424
23413,961,SMRT,2,43011,Upp Bt Timah Rd,Bt Regency,1.347407,103.771195
23414,961,SMRT,2,42011,Bt Timah Rd,Sixth Ave Ctr,1.33161452117352,103.79503057628676
23415,961,SMRT,2,45021,Woodlands Rd,Heavy Veh Pk,1.39385694401888,103.75383583300304
23416,961,SMRT,2,45031,Woodlands Rd,Yew Tee Ind Est,1.39623361717149,103.75421868895825
