,school_name,category,address,longitude,latitude
143,HANIS MONTESSORI PLAYHOUSE ( KOVAN ),PRESCHOOL,"777,UPPER SERANGOON ROAD,#01-01,SAI HO BUILDING,534645",103.878547948576,1.35497685244355
1318,HAPPY KIDS CHILDCARE & DEVELOPMENT CENTRE,PRESCHOOL,"882,TAMPINES STREET 84,521882",103.933462049385,1.35204684938015
1051,HAPPY KIDS PRESCHOOL PTE. LTD.,PRESCHOOL,"60,60 LORONG 23 GEYLANG,#3-01,D'INNOVA,388384",103.881457337554,1.31596030967384
1095,HAPPY TOWN CHILDCARE PTE LTD,PRESCHOOL,"1205,UPPER BOON KENG ROAD,GEYLANG WEST COMMUNITY CLUB,387311",103.872387854111,1.31569111106628
1209,HARMONI PRESKOOL @ BUANGKOK PTE LTD,PRESCHOOL,"278B,COMPASSVALE BOW,#01-561,COMPASSVALE HELM,542278",103.890641438035,1.38235083780012
1208,HARMONI PRESKOOL @ YISHUN PTE LTD,PRESCHOOL,"676,YISHUN RING ROAD,#01-01,MULTI STOREY CAR PARK,760676",103.841810408056,1.42162829335003
1349,HAVEN INFANT & TODDLER CENTRE,PRESCHOOL,"101,CANTONMENT ROAD,#03-01,TANJONG PAGAR COMMUNITY CLUB,089774",103.852535916404,1.29684825480832
1428,HAVEN INFANT & TODDLER CENTRE,PRESCHOOL,"114,WHAMPOA ROAD,#01-123,320114",103.857481385973,1.3254120484659
1114,HAVEN SCHOOLHOUSE @ BAHAGIA,PRESCHOOL,"29,JALAN BAHAGIA,#01-348,320029",103.858565503017,1.32540758450301
1429,HAVEN SCHOOLHOUSE @ BEDOK NORTH,PRESCHOOL,"93,BEDOK NORTH AVENUE 4,#01-1477,460093",103.941309734338,1.33288899931346
1130,HAVEN SCHOOLHOUSE @ BUKIT PURMEI,PRESCHOOL,"102,BUKIT PURMEI ROAD,#01-78,090102",103.852535916404,1.29684825480832
43,HEALTHY START CHILD DEVELOPMENT CENTRE,PRESCHOOL,"120,BUKIT MERAH VIEW,#01-04,152120",103.822612454246,1.28277443239482
1801,HEARTFIELD KINDERGARTEN PTE LTD,PRESCHOOL,"31,BALMORAL ROAD,259810",103.834056878975,1.31710101079239
1309,HEARTYLAND INFANT CARE PTE LTD,PRESCHOOL,"35,TECK WHYE AVENUE,#02-02,CHUA CHU KANG COMMUNITY CLUB,688892",103.751903879838,1.38115529117059
1310,HEARTYLAND PRESCHOOL PTE LTD,PRESCHOOL,"2,PETIR ROAD,#01-13-16,MAYSPRINGS,678265",103.76343057748,1.37728755480684
1750,HI-5 HOUSE OF LEARNING(HOL) PRESCHOOL@JOO SENG PTE. LTD.,PRESCHOOL,"17,JOO SENG ROAD,#03-133,JOO SENG HEIGHTS,360017",103.881375973843,1.33616230952626
171,HOLY GRACE KINDERCARE,PRESCHOOL,"408B,UPPER EAST COAST ROAD,#02HOLY GRACE PRESBYTERIAN CHURCH,466484",103.93948239153,1.31408913997512
1482,HOPE CHILDCARE CENTRE,PRESCHOOL,"3501,JALAN BUKIT MERAH,#04-02,RUBIKON,159460",103.818267800134,1.28348433174779
21,HOUSE ON THE HILL MONTESSORI PRE-SCHOOL,PRESCHOOL,"22,CAMDEN PARK,HOLLANDSE CLUB,299814",103.816467275963,1.33000348667635
623,HOUSE ON THE HILL PTE LTD,PRESCHOOL,"33,MOUNT SOPHIA,SOPHIA HILLS ,228481",103.847150912242,1.30178268606854
41,HOUSE ON THE HILL PTE. LTD.,PRESCHOOL,"2H,BALMORAL CRESCENT,259887",103.833985812385,1.31513523481676
1541,HOUSE ON THE HILL PTE. LTD.,PRESCHOOL,"396,PASIR PANJANG ROAD,#02-01,PASIR PANJANG POST OFFICE,118733",103.771165065693,1.29154211888766
348,HUDA CHILDCARE (WOODLANDS11) PTE. LTD.,PRESCHOOL,"11,WOODLANDS CLOSE,#01-19,WOODLANDS 11,737853",103.802773360648,1.43482603452741
1878,HUDA CHILDCARE (WRR) PTE LTD,PRESCHOOL,"11,WOODLANDS CLOSE,#01-03,WOODLANDS 11,737853",103.802773360648,1.43482603452741
1268,HUDA CHILDCARE PTE. LTD.,PRESCHOOL,"11,WOODLANDS CLOSE,#01-13,WOODLANDS11,737853",103.802773360648,1.43482603452741
411,IDEAL KIDZ CHILDCARE,PRESCHOOL,"21,YUNG HO ROAD,#01-04,THE AGAPE,618593",103.724749318075,1.32695779286094
165,IDEAL KIDZ KINDERGARTEN,PRESCHOOL,"7,GAMBAS CRESCENT,#01-15,ARK@GAMBAS,757087",103.812834544627,1.44485765403794
930,IDEAL MONTESSORI PTE LTD,PRESCHOOL,"1,YOUNGBERG TERRACE,#01-02,AVON PARK,357741",103.869770060845,1.33924560642212
636,IKIDS WORLD PTE. LTD.,PRESCHOOL,"35,SARACA ROAD,SELETAR HILLS ESTATE,807381",103.865268104636,1.38449809221524
66,ILHAM CHILD CARE (EAST) PTE LTD,PRESCHOOL,"1,UBI VIEW,#01-20,FOCUS ONE,408555",103.897018752154,1.33165249966586
1845,ILHAM CHILD CARE (NORTH) PTE LTD,PRESCHOOL,"21,WOODLANDS CLOSE,#01-27/28,737854",103.804760536879,1.43502365592364
65,ILHAM CHILD CARE PTE. LTD.,PRESCHOOL,"18,BOON LAY WAY,#01-121,TRADEHUB 21,609966",103.752854514418,1.32852674067117
92,IMAN CHILDCARE ( WOODGROVE) PTE. LTD.,PRESCHOOL,"5,WOODGROVE AVENUE,738405",103.776280731648,1.42850409120621
1876,IMAN CHILDCARE (BUKIT BATOK) PTE LTD,PRESCHOOL,"277,BUKIT BATOK EAST AVENUE 3,#02-373,650277",103.758002982021,1.34737714599319
1877,IMAN CHILDCARE (JURONG) PTE. LTD.,PRESCHOOL,"399,YUNG SHENG ROAD,#01-19,610399",103.72026802061,1.3350420286067
1047,IMAN CHILDCARE (SIMEI) PTE. LTD.,PRESCHOOL,"154,SIMEI STREET 1,#01-75,520154",103.956996641927,1.34480692542205
1650,IMAN CHILDCARE (TAMPINES) PTE LTD,PRESCHOOL,"136,TAMPINES STREET 11,#01-156,521136",103.945218352392,1.34467623523947
1230,IMAN CHILDCARE PTE. LTD.,PRESCHOOL,"148,PASIR RIS STREET 13,#01-34,510148",103.962078643998,1.36226599374262
1006,IMAN KINDERGARTEN (CCK) PTE LTD,PRESCHOOL,"530,CHOA CHU KANG STREET 51,#01-323,680530",103.741839276777,1.39268007502711
1261,IMAN KINDERGARTEN (TENAGAVILLE) PTE LTD,PRESCHOOL,"651,JALAN TENAGA,#01-04,EUNOS DAMAI VILLE,410651",103.907363528438,1.3321924321125
583,IMAN KINDERGARTEN (YISHUN) PTE LTD,PRESCHOOL,"934,YISHUN CENTRAL 1,#01-57,760934",103.836595822572,1.42573131281394
1657,"INNO MONTESSORI PTE. LTD,",PRESCHOOL,"217,EAST COAST ROAD,#04-01,TIDES,428915",103.906933727682,1.30759648518797
1154,INVICTUS INTERNATIONAL PRESCHOOL GRANDEUR PARK,PRESCHOOL,"11,BEDOK SOUTH AVENUE 3,#B1-04,GRANDEUR PARK RESIDENCES,465466",103.944841446726,1.32489040193075
198,IROHA KINDERGARTEN,PRESCHOOL,"5,STADIUM WALK,#03-01,LEISURE PARK KALLANG,397693",103.876638148971,1.30240462507128
618,ISLANDER PRE-SCHOOL PTE LTD,PRESCHOOL,"31,BEACH VIEW,#03-01,PALAWAN KIDZ CITY,098008",103.852535916404,1.29684825480832
238,IYAD PERDAUS CHILD DEVELOPMENT,PRESCHOOL,"565,HOUGANG STREET 51,#01-480,530565",103.887953237737,1.38051823194681
239,IYAD PERDAUS CHILD DEVELOPMENT,PRESCHOOL,"417,CHOA CHU KANG AVENUE 4,#01-382,680417",103.741578052416,1.38296498350584
240,IYAD PERDAUS CHILD DEVELOPMENT,PRESCHOOL,"241,JURONG EAST STREET 24,#01-659,600241",103.742973359591,1.3414812934447
1476,JAMIYAH CHILD CARE CENTRE,PRESCHOOL,"124,ANG MO KIO AVE 6,#01-4055,560124",103.844768276408,1.37089179310251
1535,JAMIYAH KINDERGARTEN,PRESCHOOL,"31,LORONG 12 GEYLANG,#03JAMIYAH,399006",103.878782309109,1.31037918716352
167,JEET'S LITTLE LEARNERS (BEDOK) PTE. LTD.,PRESCHOOL,"327,BEDOK ROAD,469498",103.947778439395,1.33054849915481
1494,JENIUS KINDERGARTEN,PRESCHOOL,"915,HOUGANG STREET 91,#01-10,530915",103.883813276017,1.37752183749176
1387,JHS MONTESSORI,PRESCHOOL,"9,CHWEE CHIAN ROAD,117488",103.788327649564,1.27871081603146
1297,JOLLY OWL SCHOOLHOUSE,PRESCHOOL,"2,GAMBAS CRESCENT,#01-29,NORDCOM TWO,757044",103.815893655259,1.44309365595112
1152,JOSIAH BABIES (APERIA),PRESCHOOL,"12,KALLANG AVENUE,#03-37,APERIA,339511",103.864326436447,1.3097112065077
1578,JOSIAH MONTESSORI,PRESCHOOL,"14,ROBINSON ROAD,#05-01,FAR EAST FINANCE BUILDING,048545",103.852535916404,1.29684825480832
1150,JOSIAH MONTESSORI (PASIR RIS),PRESCHOOL,"1,PASIR RIS TERRACE,PASIR RIS BEACH PARK,518645",103.944359245034,1.38044509461748
1758,JOSIAH MONTESSORI : CITY CHILDCARE CENTRE,PRESCHOOL,"3,TEMASEK BOULEVARD,#01-618,SUNTEC CITY MALL,038983",103.880474449473,1.32484303711771
385,JOSIAH MONTESSORI APERIA,PRESCHOOL,"12,KALLANG AVENUE,#03-37,APERIA,339511",103.864326436447,1.3097112065077
1213,JOSIAH MONTESSORI KINDER-CARE,PRESCHOOL,"1,CHANGI BUSINESS PARK CRESCENT,#01-05,PLAZA 8 @ CBP,486025",103.965411905521,1.33360158623326
1236,JOSIAH MONTESSORI KINDERGARTEN,PRESCHOOL,"5,TAMPINES STREET 32,#02-01,TAMPINES MART,529284",103.959906449844,1.35436981591879
1672,JOY TALENT CHILDCARE CENTRE PTE. LTD.,PRESCHOOL,"541,JURONG WEST AVENUE 1,#01-1054,640541",103.715983002516,1.35104299843383
603,JOYSTAR PRESCHOOL @ BEDOK CENTRAL,PRESCHOOL,"219,BEDOK CENTRAL,#01-140A,MULTI STOREY CAR PARK,460219",103.932948087606,1.32496457628748
1225,JUDE CHILD CARE AND CHILD DEVELOPMENT CENTRE,PRESCHOOL,"104,PASIR RIS STREET 12,#01-141,510104",103.958702642513,1.36795278578738
1341,JULIA GABRIEL PRESCHOOL KEPPEL BAY,PRESCHOOL,"2,KEPPEL BAY VISTA,#02-01-2A,MARINA AT KEPPEL BAY,098382",103.852535916404,1.29684825480832
1096,JULIA GABRIEL PRESCHOOL MOUNTBATTEN,PRESCHOOL,"231,MOUNTBATTEN ROAD,#01-00,BLK A,397999",103.880834672978,1.30809319628825
1807,JULIA GABRIEL PRESCHOOL THOMSON,PRESCHOOL,"510,THOMSON ROAD,#04-01A,SLF BUILDING,298135",103.839419152835,1.3336502448472
1371,JUNIOR CHAMPS (GRANTRAL MALL),PRESCHOOL,"601,MACPHERSON ROAD,#02-14-16,GRANTRAL COMPLEX,368242",103.887745947807,1.33375187570527
1864,JUNIOR CHAMPS @ KOVAN PTE. LTD.,PRESCHOOL,"205,HOUGANG STREET 21,#04-00,HEARTLAND MALL- KOVAN,530205",103.885167372726,1.35954177325561
1862,JUNIOR CHAMPS EDUCAMPUS PTE LTD,PRESCHOOL,"18,TAI SENG STREET,#02-02,18 TAI SENG,539775",103.888825620348,1.33631557522577
1863,JUNIOR CHAMPS EDUCAMPUS PTE. LTD.,PRESCHOOL,"21,HOUGANG STREET 51,#02-11,HOUGANG GREEN SHOPPING MALL,538719",103.887832017102,1.3792452907016
1491,JUNIOR PLAYWORLD CHILD CARE & DEVELOPMENT CENTRE,PRESCHOOL,"2 / 4,JALAN LYE KWEE,537822",103.89742180163,1.37126076870673
1377,JUNIORS PTE LTD,PRESCHOOL,"32,SIN MING LANE,MIDVIEW CITY,573954",103.833747668616,1.36021537732932
940,JURONG CALVARY KINDERGARTEN,PRESCHOOL,"1,TAO CHING ROAD,CALVARY BIBLE-PRESBYTERIAN CHURCH,618720",103.723491055902,1.3331903279661
1269,K-JOY EDUCARE PTE LTD,PRESCHOOL,"768,WOODLANDS AVENUE 6,#02-01,WOODLANDS MART,730768",103.798166316676,1.44571784134906
1411,KAMPUNG SIGLAP MOSQUE KINDERGARTEN,PRESCHOOL,"451,MARINE PARADE ROAD,#03MASJID KAMPUNG SIGLAP,449283",103.927555067646,1.30985532852467
379,KAY POH ROAD BAPTIST KINDERGARTEN,PRESCHOOL,"7,KAY POH ROAD,248963",103.829094842599,1.29661103498164
1266,KHALSA KINDERGARTEN,PRESCHOOL,"2,TESSENSOHN ROAD,#05-00,SINGAPORE KHALSA ASSOCIATION,217646",103.856941466502,1.31649300843498
1522,KIDDIE EXPLORERS PRESCHOOL,PRESCHOOL,"431,PUNGGOL ROAD,BEAUTY GARDEN,546654",103.90101405256,1.39219339624406
1654,KIDDIWINKIE SCHOOLHOUSE @ EAST COAST,PRESCHOOL,"511,EAST COAST ROAD,NIL,429064",103.914101528818,1.30968489016823
308,KIDDIWINKIE SCHOOLHOUSE @ JURONG GATEWAY,PRESCHOOL,"2,JURONG GATEWAY ROAD,#01-12,JURONG PLAY GROUNDS,608512",103.744771669516,1.33663996485581
1460,KIDDIWINKIE SCHOOLHOUSE @ MOUNTBATTEN,PRESCHOOL,"715,MOUNTBATTEN ROAD,NIL,437735",103.886194260442,1.30117602429767
1202,KIDDIWINKIE SCHOOLHOUSE @ NOVENA PTE. LTD.,PRESCHOOL,"1,NOVENA TERRACE,307903",103.842384045711,1.32117913758975
1456,KIDDIWINKIE SCHOOLHOUSE @ UPPER BUKIT TIMAH,PRESCHOOL,"10/12,LORONG PISANG BATU,HOOVER PARK,597925",103.773914825309,1.34250233144236
640,KIDDIWINKIE SCHOOLHOUSE PTE LTD,PRESCHOOL,"3,HARBOURFRONT PLACE,#02-01,HARBOURFRONT TOWER TWO,099254",103.852535916404,1.29684825480832
1227,KIDDIWINKIE SCHOOLHOUSE PTE LTD,PRESCHOOL,"420,CLEMENCEAU AVENUE NORTH, #01-02,229492",103.839964342214,1.31039881365697
1455,KIDDIWINKIE SCHOOLHOUSE PTE LTD,PRESCHOOL,"15,SCOTTS ROAD,#02-01,THONG TECK BUILDING,228218",103.83273062786,1.30788492696723
523,KIDDIWINKIE SCHOOLHOUSE SINGAPORE PTE LTD,PRESCHOOL,"1,BOURNEMOUTH ROAD,439659",103.896445900986,1.30236020335452
1457,KIDDIWINKIE SCHOOLHOUSE SINGAPORE PTE LTD,PRESCHOOL,"33,WESTLAKE AVENUE,WEST LAKE GARDEN,574244",103.837853134704,1.34321522708402
1546,KIDDIWINKIE SCHOOLHOUSE@GRANDSTAND PTE LTD,PRESCHOOL,"39,CACTUS CRESCENT,809741",103.851705572202,1.39082103254238
1775,KIDDY UP PTE LTD,PRESCHOOL,"12,QUEEN STREET,#04-01,HOTEL ROYAL @ QUEENS,188553",103.852228303832,1.29755506526153
1246,KIDS AND KINS CHILD CARE CENTRE,PRESCHOOL,"2,SHANGRI-LA WALK,568179",103.832327721676,1.36968157907272
1128,KIDS' KINGDOM CHILD DEVELOPMENT AND LEARNING CENTRE,PRESCHOOL,"1,EDGEFIELD WALK,828850",103.909687769552,1.40086188874342
1242,KIDS' STAR CHILD DEVELOPMENT CENTRE (S) PTE LTD,PRESCHOOL,"565,ANG MO KIO AVE 3,#01-3431,560565",103.858385596097,1.3695393440628
1661,KIDSCAMPUS (CHANGI SIMEI) PTE LTD,PRESCHOOL,"10,SIMEI STREET 2,#04-01,529915",103.95522980359,1.34501867833145
1249,KIDSCAMPUS CHAI CHEE PTE. LTD.,PRESCHOOL,"11,BEDOK NORTH STREET 1,HEARTBEAT @ BEDOK,469662",103.931806159881,1.32662388643563
1375,KIDSCAMPUS JW PTE LTD,PRESCHOOL,"837,JURONG WEST STREET 81,#01-75,640837",103.692906031929,1.34307732968771
1662,KIDSCAMPUS WEST COAST PTE LTD,PRESCHOOL,"509,WEST COAST DRIVE,#01-283,WEST COAST VISTA,120509",103.761017540932,1.31115776641946
1651,KIDSCAMPUS WHAMPOA PTE LTD,PRESCHOOL,"300,WHAMPOA DRIVE,#01-02,WHAMPOA COMMUNITY CLUB,327737",103.85720121091,1.32486749296569
1697,KIDSKINGDOM @ BEDOK RESERVOIR LLP,PRESCHOOL,"742,BEDOK RESERVOIR ROAD,#01-3131,470742",103.922090734567,1.33808524960901
1875,KIDSKINGDOM PTE. LTD.,PRESCHOOL,"154,HOUGANG STREET 11,#01-196,530154",103.880173191904,1.3522029527063
1511,KIDSVILLE CHILD CARE & DEVELOPMENT CENTRE,PRESCHOOL,"217,YISHUN STREET 21,#01-333,760217",103.836318733123,1.43262267614989
1519,KIDSVILLE CHILD CARE & DEVELOPMENT CENTRE,PRESCHOOL,"201,YISHUN STREET 21,#01-55,760201",103.837996781156,1.43064865606425
1185,KIDYA CHILDCARE (BUKIT BATOK) PTE LTD,PRESCHOOL,"21,BUKIT BATOK CRESCENT,#02-80,81,WCEGA TOWER,658065",103.759665479168,1.33696571508317
1184,KIDYA CHILDCARE PTE LTD,PRESCHOOL,"55,LORONG L TELOK KURAU,#03-61,BRIGHT CENTRE,425500",103.910557235164,1.3118205086709
921,KIDZ KULTURE SCHOOLHOUSE PTE. LTD.,PRESCHOOL,"743,BEDOK RESERVOIR ROAD,#01-3081,470743",103.921762627394,1.33849476902923
460,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (BEDOK NORTH),PRESCHOOL,"431,BEDOK NORTH ROAD,#01-01,460431",103.932502461445,1.32922126388158
463,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (BUANGKOK CRESCENT),PRESCHOOL,"979C,BUANGKOK CRESCENT,#01-105,533979",103.87995444753,1.37953890851806
462,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (BUANGKOK RIDGE),PRESCHOOL,"986C,BUANGKOK CRESCENT ,#01-88,533986",103.880452542271,1.38256880912776
466,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (EUNOS),PRESCHOOL,"17,EUNOS CRESCENT,#01-2865,400017",103.904403708711,1.32337014878712
461,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (JURONG WEST),PRESCHOOL,"663C,JURONG WEST STREET 65,#01-237,643663",103.702429703843,1.33804531682119
459,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (PASIR RIS),PRESCHOOL,"102,PASIR RIS ROAD,-102,PASIR RIS BEACH PARK,519108",103.943440840415,1.38368698889419
458,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (PUNGGOL),PRESCHOOL,"228,PUNGGOL FIELD,#02-01,MATILDA SUNDECK,820228",103.892035446143,1.40332247370537
465,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (WOODLANDS),PRESCHOOL,"874,WOODLANDS STREET 82,#01-522,730874",103.7895456612,1.44293234437699
464,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (YEW TEE),PRESCHOOL,"612,CHOA CHU KANG ST 62,#01-195,680612",103.744352713589,1.40000866051722
401,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE (YISHUN),PRESCHOOL,"173,YISHUN AVENUE 7,#01-817,760173",103.831120689838,1.43706628176725
775,KIDZMONTE CHILD DEVELOPMENT CENTRE,PRESCHOOL,"73,LOYANG RISE,507528",103.963423217312,1.36210209758721
1308,KIM KEAT CHRISTIAN CHURCH KINDERGARTEN,PRESCHOOL,"11,BENG WAN ROAD,339843",103.865899478086,1.32441878202316
86,KINDERCAMPUS (S) PTE LTD,PRESCHOOL,"12,SOMMERVILLE WALK,359756",103.865562135883,1.34909587719151
947,KINDERCARE CENTRE LLP,PRESCHOOL,"502A,WOODLANDS DRIVE 14,#01-26,731502",103.791313633199,1.43330461383635
712,KINDERLAND PRESCHOOL,PRESCHOOL,"7,MAXWELL ROAD,#06-02,ANNEXE B MND COMPLEX,069111",103.733988555086,1.35580115419711
907,KINDERLAND PRESCHOOL,PRESCHOOL,"18,HAVELOCK ROAD,#01-18,MINISTRY OF MANPOWER BUILDING,059764",103.756398174742,1.32891612403331
915,KINDERLAND PRESCHOOL,PRESCHOOL,"55,NEWTON ROAD,#05-01,REVENUE HOUSE,307987",103.842142960008,1.31978249878705
1004,KINDERLAND PRESCHOOL,PRESCHOOL,"202,HOUGANG STREET 21,#03-00,530202",103.883962381949,1.35754686861981
1224,KINDERLAND PRESCHOOL,PRESCHOOL,"3,PANDANVALLEY,#02-316,597627",103.779326736396,1.31984371963095
1342,KINDERLAND PRESCHOOL,PRESCHOOL,"87,MARINE PARADE CENTRAL,#03-203,440087",103.905662252175,1.30242019809177
1507,KINDERLAND PRESCHOOL,PRESCHOOL,"449,YIO CHU KANG ROAD,805946",103.854010727913,1.39049673555442
1689,KINDERLAND PRESCHOOL,PRESCHOOL,"900,SOUTH WOODLANDS DRIVE,#05-03,WOODLANDS CIVIC CENTRE,730900",103.787004308703,1.43505698925938
1343,KINDERTOWN EDUCARE PTE. LTD.,PRESCHOOL,"363,LORONG BUANG KOK,547686",103.900374331539,1.39139752452014
1869,KINDERYEARS CHILDCARE & DEVELOPMENT CENTRE,PRESCHOOL,"679,CHOA CHU KANG CRESCENT,#01-602,680679",103.744715544736,1.40262029061291
189,KINGDOM EDUCATION PTE. LTD.,PRESCHOOL,"182,JALAN JURONG KECHIL,#01-67,THE HILLFORD,596152",103.769543941347,1.34404337282104
1446,LEAP SCHOOLHOUSE @ CITY SQUARE MALL PTE LTD,PRESCHOOL,"180,KITCHENER ROAD,#B2-19,CITY SQUARE MALL,208539",103.856624019991,1.31142103107683
1693,LEARNING ADVENTURE PRESCHOOL @ WOODLANDS,PRESCHOOL,"11,WOODLANDS CLOSE,#01-29,WOODLANDS 11,737853",103.802773360648,1.43482603452741
1673,LEARNING ADVENTURE PRESCHOOL PTE LTD,PRESCHOOL,"15,PASIR RIS WAY,PASIR RIS BEACH PARK,518531",103.945639459864,1.38124776115288
307,LEARNING JUNGLE KEMBANGAN,PRESCHOOL,"73,LENGKONG DUA,417731",103.911700178098,1.32535577389613
373,LEARNING KIDZ ACADEMY PTE. LTD.,PRESCHOOL,"5,TAMPINES CENTRAL 1,#05-01,TAMPINES PLAZA 2,529541",103.942688326666,1.35316637447594
1323,LEARNING KIDZ CHILD DEVELOPMENT CENTRE LLP,PRESCHOOL,"423,SERANGOON CENTRAL,#01-342,550423",103.875588802735,1.3484907716087
1337,LEARNING KIDZ EDUCARE PTE. LTD.,PRESCHOOL,"300,TAMPINES AVENUE 5,#06-01/05,INCOME AT TAMPINES JUNCTION,529653",103.941943293971,1.3523360160745
1336,LEARNING KIDZ EDUCENTRE PTE. LTD.,PRESCHOOL,"61,ANG MO KIO AVENUE 8,#03-01,569814",103.847775723803,1.37178551879642
1441,LEARNING VISION CHANGI AIRPORT (TERMINAL 3),PRESCHOOL,"65,AIRPORT BOULEVARD,#04-02,CHANGI AIRPORT TERMINAL 3,819663",103.986211815854,1.35640628728788
1099,LEARNING VISION CHANGI BUSINESS PARK,PRESCHOOL,"7,CHANGI BUSINESS PARK VISTA,#02-01,SOOKEE HQ,486042",103.965227334327,1.33824039424584
1228,LEARNING VISION HARBOURLINK INNOHUB (PASIR PANJANG),PRESCHOOL,"61,ALEXANDRA TERRACE,#02-11,HARBOURLINK INNOHUB,119936",103.797742999491,1.27766459059549
1431,LEARNING VISION HWA CHONG INSTITUTION,PRESCHOOL,"673,BUKIT TIMAH ROAD,THE CHINESE HIGH SCHOOL,269735",103.800747204253,1.32588867455552
1424,LEARNING VISION LIFELONG LEARNING INSTITUTE (PAYA LEBAR),PRESCHOOL,"11,EUNOS ROAD 8,#04-04,LIFELONG LEARNING INSTITUTE,408601",103.892134990552,1.31945233598262
1239,LEARNING VISION NANYANG POLYTECHNIC,PRESCHOOL,"180,ANG MO KIO AVE 8,569830",103.848083337667,1.38034089934688
1461,LEARNING VISION NANYANG TECHNOLOGICAL UNIVERSITY,PRESCHOOL,"94,NANYANG CRESCENT,637034",103.689223518734,1.35294936746655
515,LEARNING VISION NATIONAL UNIVERSITY HEALTH SYSTEM,PRESCHOOL,"1,LOWER KENT RIDGE ROAD,#07-01,119082",103.784084020155,1.29277432702258
491,LEARNING VISION NG TENG FONG GENERAL HOSPITAL,PRESCHOOL,"1,JURONG EAST STREET 21,609606",103.746634963937,1.33260943666141
1526,LEARNING VISION SENGKANG GENERAL HOSPITAL,PRESCHOOL,"1,ANCHORVALE STREET,#04-21,SENGKANG COMMUNITY HOSPITAL,544835",103.891834051543,1.39602238832875
1423,LEARNING VISION SUNSHINE PLACE (CHOA CHU KANG),PRESCHOOL,"475,CHOA CHU KANG AVE 3,#02-14,680475",103.738931794069,1.37805614752086
1430,LEARNING VISION TAN TOCK SENG HOSPITAL,PRESCHOOL,"11,JALAN TAN TOCK SENG 4TH LEVEL,TAN TOCK SENG HOSPITAL,308433",103.849900554786,1.3194999277015
1100,LEARNING VISION TECHPOINT (ANG MO KIO),PRESCHOOL,"10,ANG MO KIO STREET 65,#01-04,TECHPOINT,569059",103.849277160011,1.38935499010626
1528,LEARNING VISION VISTA POINT (WOODLANDS),PRESCHOOL,"548,WOODLANDS DRIVE 44,#02-20,VISTA POINT,730548",103.793804884379,1.43044361849124
1351,LEARNING VISION WOODLANDS HEALTH,PRESCHOOL,"17,WOODLANDS DRIVE 17,#02-02,NIL,737628",103.794743820819,1.42468138298223
1142,LEARNINGHILL EDUCARE PTE LTD,PRESCHOOL,"6,LAKME STREET,456903",103.927664517091,1.31676040440232
149,LEARNINGWELL PRESCHOOL @ TWIN VEW,PRESCHOOL,"93,WEST COAST VALE,#B1-02,TWIN VEW,126756",103.752699363733,1.31968768006034
955,LECLARE @ SHENTON PTE. LTD.,PRESCHOOL,"7,SHENTON WAY,#01-02,SINGAPORE CONFERENCE HALL,068810",103.852535916404,1.29684825480832
1401,LEEDS MONTESSORI,PRESCHOOL,"449,PUNGGOL ROAD,BEAUTY GARDEN,546663",103.900866987557,1.39276708377823
1538,LES OLIVIERS,PRESCHOOL,"66,NAMLY PLACE,SHAMROCK PARK,267211",103.796786584331,1.32402562796246
2,LES PETITS GAULOIS,PRESCHOOL,"903,EAST COAST ROAD,SIGLAP SHOPPING CENTRE,459106",103.924340925324,1.31294766776756
3,LES PETITS GAULOIS PTE. LTD.,PRESCHOOL,"895,EAST COAST ROAD,459098",103.924111314779,1.31289677312391
345,LIGHTHOUSE EDUCARE PTE LTD,PRESCHOOL,"21,WOODLANDS CLOSE,#01-13,737854",103.804760536879,1.43502365592364
1483,LILY VALLEY PRESCHOOL,PRESCHOOL,"6,RAFFLES BOULEVARD,#02-27/28,MARINA SQUARE,039594",103.852535916404,1.29684825480832
651,LITTLE BEEZ PLAYSKOOL,PRESCHOOL,"491H,TAMPINES STREET 45,#01-242,527491",103.954391828405,1.3629698988553
1151,LITTLE BIG PRE-SCHOOL PTE. LTD.,PRESCHOOL,"95,TELOK KURAU ROAD,423797",103.909938273606,1.31542666810107
497,LITTLE DOLPHINS PLAYSKOOL,PRESCHOOL,"714,CLEMENTI WEST STREET 2,#01-139,120714",103.761682084014,1.30430341306691
1322,LITTLE DOLPHINS PLAYSKOOL,PRESCHOOL,"276,CHOA CHU KANG AVE 2,#01-309,680276",103.744327184637,1.37956864583538
1694,LITTLE EXPLORERS COVE @ BOON LAY,PRESCHOOL,"88,BOON LAY PLACE,HOCKEY VILLAGE,649883",103.71119757097,1.34749841015121
1290,LITTLE FAIRYLAND CHILD CARE & DEVELOPMENT CENTRE,PRESCHOOL,"509,EAST COAST ROAD,429063",103.913675410417,1.30956753585429
