,school_name,category,address,longitude,latitude
588,A2E KIDS,PRESCHOOL,"118,ALJUNIED AVENUE 2,#03-102,380118",103.887363064677,1.32000040187831
1643,AAYTOZEE @ HILLVIEW PTE LTD,PRESCHOOL,"2,JALAN DERMAWAN,668947",103.761904463885,1.35884961898497
1425,AAYTOZEE LEARNING COVE PTE LTD,PRESCHOOL,"21,CHU LIN ROAD,BAMBOO GROVE PARK,669915",103.760075727441,1.35752640518369
281,ABATA TREEHOUSE,PRESCHOOL,"103,JALAN KEMBANGAN,419141",103.913214119997,1.32509466145283
1475,ABC CHILDREN'S PLACE,PRESCHOOL,"878,TAMPINES AVENUE 8,#01-308,520878",103.931382253216,1.35221187065647
168,ACADEMY KIDZ INC PTE. LTD.,PRESCHOOL,"750D,CHAI CHEE ROAD,#01-01,TECHNOPARK @ CHAI CHEE,469004",103.920876449789,1.32261198109864
1062,ACE @ WORK CHILDCARE PTE LTD,PRESCHOOL,"703,CHOA CHU KANG STREET 53,#01-54,680703",103.745930761025,1.3913176745554
1061,ACE @ WORK CHILDCARE PTE LTD (CCK 757),PRESCHOOL,"757,CHOA CHU KANG NORTH 5,#01-121,680757",103.74591415814,1.39284801770148
44,ACE @ WORK CHILDCARE PTE LTD (TMP939),PRESCHOOL,"939,TAMPINES AVENUE 5,#01-167,TAMPINES PALMSVILLE,520939",103.941192062444,1.34829190196764
93,ACE @ WORK EDUCARE PTE LTD,PRESCHOOL,"288B,JURONG EAST STREET 21,#01-378,602288",103.742880903459,1.33893635159463
97,ACE@WORK CHILDCARE PTE LTD,PRESCHOOL,"105,CASHEW ROAD,#01-01,CASHEW HEIGHTS CONDOMINIUM,679675",103.76750951079,1.37346487819206
395,ACEKIDZ @ LAKEVISTA PTE. LTD.,PRESCHOOL,"138,YUAN CHING ROAD,LAKE VISTA @ YUAN CHING,610138",103.723396367153,1.32792499717977
987,ACEKIDZ @ SG PTE. LTD.,PRESCHOOL,"315C,YISHUN AVENUE 9,#01-180,763315",103.843300870773,1.43236735703997
315,ACES CHAMPION ENTERPRISE (SINGAPORE) LLP,PRESCHOOL,"10,LORONG SARINA,416672",103.908056040946,1.31918790014122
992,ACTIVE LEARNERS CHILD CARE PRIVATE LIMITED,PRESCHOOL,"306A,WOODLANDS STREET 31,#03-03,731306",103.775081057714,1.43011253092335
1639,ADVENTURE TREE PRESCHOOL @ KATONG,PRESCHOOL,"4,CRESCENT ROAD,439289",103.894821372712,1.29851423342286
1484,ADVENTURE TREE PRESCHOOL BRADDELL,PRESCHOOL,"45A,CARMICHAEL ROAD,359826",103.862271391697,1.34255471804221
507,ADVENTURE TREE PRESCHOOL BUKIT TIMAH PTE LTD,PRESCHOOL,"59,YUK TONG AVENUE,596360",103.774079415827,1.34417619807747
592,ADVENTURE TREE PRESCHOOL HOLLAND,PRESCHOOL,"9,GROVE DRIVE,HENRY PARK,279050",103.783180618711,1.31367483143637
127,AGAPE LITTLE UNI CECIL,PRESCHOOL,"101,CECIL STREET,#01-01,TONG ENG BUILDING,069533",103.852535916404,1.29684825480832
132,AGAPE LITTLE UNI CHOA CHU KANG,PRESCHOOL,"789,CHOA CHU KANG NORTH 6,#01-224,680789",103.749162518106,1.39587445047224
125,AGAPE LITTLE UNI CLEMENTI,PRESCHOOL,"453,CLEMENTI AVENUE 3,#01-01,CLEMENTI AREA OFFICE,120453",103.766016890178,1.31192106821964
129,AGAPE LITTLE UNI COMMONWEALTH,PRESCHOOL,"401,COMMONWEALTH DRIVE,#02-01,HAW PAR TECHNOCENTRE,149598",103.796483196648,1.30305551306548
124,AGAPE LITTLE UNI COMPASSVALE,PRESCHOOL,"293B,COMPASSVALE CRESCENT,#01-53,COMPASSVALE BOARDWALK,542293",103.895995258683,1.39699193578499
60,AGAPE LITTLE UNI GAMBAS (NORDCOM II),PRESCHOOL,"2,GAMBAS CRESCENT,#01-15,NORDCOM TWO,757044",103.815893655259,1.44309365595112
130,AGAPE LITTLE UNI JURONG WEST,PRESCHOOL,"274D,JURONG WEST AVENUE 3,#01-99,644274",103.704379929183,1.35219891849799
128,AGAPE LITTLE UNI KALLANG,PRESCHOOL,"5,UPPER BOON KENG ROAD,#02-20,MULTI STOREY CAR PARK,380005",103.872491873561,1.31264014497827
131,AGAPE LITTLE UNI SENGKANG,PRESCHOOL,"325B,SENGKANG EAST WAY,#01-655,542325",103.890675455376,1.39290849064575
126,AGAPE LITTLE UNI THOMSON,PRESCHOOL,"22,SIN MING LANE,#01-71,MIDVIEW CITY,573969",103.833601031742,1.35857900095019
123,AGAPE LITTLE UNI UPPER SERANGOON,PRESCHOOL,"473D,UPPER SERANGOON CRESCENT,#01-353,HOUGANG PARKEDGE,538473",103.901954069082,1.37667371760412
956,AGORA-COLEARNING SPACES PTE. LTD.,PRESCHOOL,"1,MARITIME SQUARE,#04-01,HARBOURFRONT CENTRE,099253",103.852535916404,1.29684825480832
1889,AL IMAN MOSQUE KINDERGARTEN,PRESCHOOL,"10,BUKIT PANJANG RING ROAD,#03MASJID AL-IMAN,679943",103.772732863586,1.37814088359883
102,AL-AMIN PRESCHOOL (PASIR RIS),PRESCHOOL,"570,PASIR RIS STREET 53,#01-64,510570",103.946510452269,1.37276905622506
1887,AL-ANSAR MOSQUE KINDERGARTEN,PRESCHOOL,"155,BEDOK NORTH AVENUE 1,#02-01,MASJID AL-ANSAR,469751",103.926353894001,1.32698962835046
617,AL-ISTIGHFAR MOSQUE KINDERGARTEN,PRESCHOOL,"2,PASIR RIS WALK,#03-01,MASJID AL-ISTIGHFAR,518239",103.964110392533,1.37099780377049
1886,AL-ISTIQAMAH MOSQUE KINDERGARTEN,PRESCHOOL,"2,SERANGOON NORTH AVENUE 2,MASJID AL-ISTIQAMAH,555876",103.875626645957,1.36920169650272
1002,AL-KHAIR MOSQUE KINDERGARTEN,PRESCHOOL,"1,TECK WHYE CRESCENT,MASJID AL-KHAIR,688847",103.749937134969,1.38261285339265
1240,AL-MUKMININ MOSQUE KINDERGARTEN,PRESCHOOL,"271,JURONG EAST STREET 21,MASJID AL-MUKMININ,609603",103.741421891919,1.33921643707099
1888,AL-MUTTAQIN MOSQUE KINDERGARTEN,PRESCHOOL,"5140,ANG MO KIO AVENUE 6,MASJID AL-MUTTAQIN,569844",103.845904790885,1.37052179748946
1555,AL-NASRY CHILDCARE PTE. LTD.,PRESCHOOL,"354,TAMPINES STREET 33,#01-530,520354",103.962498873896,1.35486140227222
1283,AL-NASRY PRESCHOOL,PRESCHOOL,"476,TAMPINES STREET 44,#01-179,520476",103.953359364582,1.36092283930264
375,AL-NASRY@SENGKANG SOUTH KINDERGARTEN,PRESCHOOL,"541,HOUGANG AVENUE 8,#B1-1215,530541",103.891272654803,1.37746143213216
1663,ALORA INFANT CARE (LENG KEE) PTE LTD,PRESCHOOL,"400,LENGKOK BAHRU,#02-03,LENG KEE COMMUNITY CENTRE,159049",103.814664108896,1.28955908951314
64,ALPHA GREEN PRESCHOOL PTE. LTD,PRESCHOOL,"1,JALAN SIAP,FUYONG ESTATE,678541",103.768483373559,1.35993338776998
1068,ALPHABET PLAYHOUSE CHILD CARE AND LEARNING CENTRE PTE LTD,PRESCHOOL,"14/16,DUBLIN ROAD,239803",103.839385074773,1.29816295364733
218,AMAZING STAR MONTESSORI HOUSE (CCK),PRESCHOOL,"511,CHOA CHU KANG STREET 51,#01-243,680511",103.740876076316,1.38933738267797
220,AMAZING STAR MONTESSORI HOUSE (GREENRIDGE),PRESCHOOL,"524A,JELAPANG ROAD,#03-01,GREENRIDGE SHOPPING CENTRE,671524",103.766170532051,1.38529556252963
219,AMAZING STAR MONTESSORI HOUSE (SN),PRESCHOOL,"103,SERANGOON NORTH AVENUE 1,#01-773,550103",103.870263924296,1.37067353047523
1394,AMERICARE CHILD DEVELOPMENT CENTRE,PRESCHOOL,"541,GEYLANG ROAD,#02-01,389496",103.885235641985,1.31395118983486
137,AMITY JUNIORS PTE LTD,PRESCHOOL,"1,BUKIT BATOK STREET 22,#02-01,659592",103.749789011042,1.34461889355755
1852,AN-NUR MOSQUE KINDERGARTEN,PRESCHOOL,"6,ADMIRALTY ROAD,MASJID AN-NUR,739983",103.771877540825,1.44072763040994
29,ANG MO KIO METHODIST PRESCHOOL,PRESCHOOL,"1,ANG MO KIO STREET 21,#01ANG MO KIO METHODIST CHURCH,569383",103.835368735634,1.36707522435153
1280,ANGEL CARE CENTRE PTE LTD,PRESCHOOL,"626,YISHUN STREET 61,#01-103,760626",103.835749017424,1.41749366890869
1894,APOLLO @ TELOK KURAU PTE LTD,PRESCHOOL,"55,LORONG L TELOK KURAU,#03-55,BRIGHT CENTRE,425500",103.910557235164,1.3118205086709
1708,APOLLO INTERNATIONAL PRESCHOOL PRIVATE LIMITED,PRESCHOOL,"44,LIMAU GARDEN,BEDOK PARK,467903",103.950004048982,1.32238449434156
1072,APPLE TREE PLAYHOUSE PTE LTD,PRESCHOOL,"1,NORTHPOINT DRIVE,#02-201,NORTHPOINT CITY,768019",103.836324536111,1.42875460572994
1613,APPLELAND MONTESSORI CHILD CARE CENTRE PTE LTD,PRESCHOOL,"165,BUKIT BATOK WEST AVENUE 8,#01-286,650165",103.741974986591,1.34731985631578
1614,APPLELAND PLAYHOUSE PTE LTD,PRESCHOOL,"104C,DEPOT ROAD,#01-03,103104",103.811571538761,1.28054680666877
1680,APRICOT ACADEMY (LAGUNA) PTE. LTD.,PRESCHOOL,"5000G,MARINE PARADE ROAD,#01-28,LAGUNA PARK,449290",103.931988303024,1.31004098731359
1129,APRICUS KIDS ACADEMY PTE LTD,PRESCHOOL,"36,WATTEN PARK,287421",103.806971575934,1.32772453281714
1891,AR-RAUDHAH MOSQUE KINDERGARTEN,PRESCHOOL,"30,BUKIT BATOK EAST AVENUE 2,MASJID AR-RAUDHAH,659919",103.756001926056,1.35166029562859
204,ARISE PRESCHOOL,PRESCHOOL,"2B,HINDHEDE ROAD,589240",103.775794755835,1.3444350679073
25,ARTEMIS PRESKOOL @ BUKIT PANJANG,PRESCHOOL,"256,BANGKIT ROAD,#02-73,BUKIT PANJANG NEIGHBOURHOOD CENTRE,670256",103.773004042544,1.37904775889844
1206,ARTEMIS PRESKOOL @ TAMPINES,PRESCHOOL,"866A,TAMPINES STREET 83,#02-01,TAMPINES CENTRAL COMMUNITY COMPLEX,521866",103.934315234737,1.35542177253675
1204,ARTEMIS PRESKOOL @ WEST COAST,PRESCHOOL,"801,WEST COAST CRESCENT,#01-08,WEST COAST PARKVIEW,120801",103.763834786591,1.29971617660023
1205,ARTEMIS PRESKOOL @ WISTERIA MALL,PRESCHOOL,"598,YISHUN RING ROAD,#02-01,WISTERIA MALL,768698",103.841268831617,1.41795288501536
1207,ARTEMIS PRESKOOL @ WOODLEIGH,PRESCHOOL,"115A,ALKAFF CRESCENT,#03-12,341115",103.87276093968,1.33645283610396
1850,ARTS JUNIOR MONTESSORI LLP,PRESCHOOL,"11,CHANG CHARN ROAD,#02-02,SHRIRO HOUSE,159640",103.811381546497,1.28840746132931
1890,ASSYAKIRIN MOSQUE KINDERGARTEN,PRESCHOOL,"550,YUNG AN ROAD,MASJID ASSYAKIRIN,618617",103.719566221744,1.33544840128089
1320,AVERBEL CHILD DEVELOPMENT CENTRE PTE LTD,PRESCHOOL,"742,YISHUN AVENUE 5,#01-470,760742",103.83310944896,1.42972006809811
949,AWWA LTD.,PRESCHOOL,"20,LENGKOK BAHRU,#02-05,159053",103.813904189286,1.28686170538596
1245,BABY ELK INFANT CARE PTE LTD,PRESCHOOL,"3,ANG MO KIO STREET 62,#01-36,LINK@AMK,569139",103.844716408408,1.38654032722797
1753,BAMBINI CHILDCARE LLP,PRESCHOOL,"3,JALAN KAKATUA,JURONG PARK,598523",103.767221081025,1.34291908603097
1244,BANYAN TREE EDUCATION @ AMK PTE. LTD.,PRESCHOOL,"7030,ANG MO KIO AVENUE 5,#01-40,NORTHSTAR @ AMK,569880",103.875389838376,1.37792345221534
1866,BARKER ROAD METHODIST CHURCH LITTLE LIGHTS PRESCHOOL -  VANDA,PRESCHOOL,"3,VANDA ROAD,#01-01,ORCHID VILLAGE,287773",103.798326696038,1.331436962548
1865,BARKER ROAD METHODIST CHURCH LITTLE LIGHTS PRESCHOOL - BARKER,PRESCHOOL,"70,BARKER ROAD,#01-01,METHODIST CHURCH IN SINGAPORE BUILDING,309936",103.834595137514,1.31924012245599
1669,BEDOK METHODIST PRESCHOOL,PRESCHOOL,"86,86 BEDOK ROAD,BEDOK METHODIST CHURCH,469371",103.953945209958,1.32375594218437
1263,BELLO BAMBINI MONTESSORI PTE LTD,PRESCHOOL,"37,JALAN PEMIMPIN,#01-12,MAPEX,577177",103.840907482125,1.34884336335242
1447,BERRY TREE PRESCHOOL PRIVATE LIMITED,PRESCHOOL,"319C,ANCHORVALE DRIVE,#01-66,543319",103.89063413206,1.39088901071724
1675,BERRY TREE PRESCHOOL@SEMBAWANG PRIVATE LIMITED,PRESCHOOL,"511,CANBERRA ROAD,#03-02,SEMBAWANG MART,750511",103.819543348113,1.45384518789713
1674,BERRY TREE@PUNGGOL PTE LTD,PRESCHOOL,"195C,PUNGGOL ROAD,#01-532,THE PERIWINKLE,823195",103.90676696931,1.40108342244949
1755,BETHANY CHILD CARE CENTRE,PRESCHOOL,"127,SERANGOON NORTH AVE 1,#01-61,550127",103.87183133243,1.36562823499679
1810,BETHEL CHILD DEVELOPMENT CENTRE,PRESCHOOL,"111,ALJUNIED CRESCENT,#01-110,380111",103.884246841453,1.32039727554777
206,BETHEL DAY CARE CENTRE,PRESCHOOL,"12,JALAN LATEH,359110",103.868832012212,1.34607582573979
205,BETHEL PRESCHOOL,PRESCHOOL,"476,UPPER SERANGOON ROAD,534514",103.871087161962,1.34435131533075
1799,BETHESDA (BEDOK-TAMPINES) KINDERGARTEN PTE LTD,PRESCHOOL,"300,BEDOK NORTH AVENUE 3,#B1BETHESDA BEDOK/TAMPINES CHURCH,469717",103.934743787561,1.33122775902296
996,BETHESDA (PASIR RIS) KINDERGARTEN,PRESCHOOL,"11,PASIR RIS DRIVE 2,BEDOK BETHESDA MISSION CHURCH,518458",103.964462067712,1.36790211151825
1603,BETHESDA ANG MO KIO KINDERGARTEN,PRESCHOOL,"601,601 ANG MO KIO AVE 4,#02BETHESDA HALL ANG MO KIO,569898",103.837307018023,1.37468314366278
629,BETHESDA CHAPEL KINDERGARTEN,PRESCHOOL,"27,LORONG MELAYU,416913",103.910323914778,1.32079179168023
225,BETHESDA KINDERCARE,PRESCHOOL,"2,LA SALLE STREET,456929",103.918409414644,1.31680131547259
313,BETHLEHEM EDUCARE CENTRE,PRESCHOOL,"320,TAMPINES STREET 33,#01-106,520320",103.957051867879,1.3507018176439
314,BETHLEHEM EDUCARE CENTRE (YISHUN),PRESCHOOL,"311,YISHUN RING ROAD,#01-1286,760311",103.840815309067,1.43157506974497
1415,BETWEEN TWO TREES PRESCHOOL,PRESCHOOL,"7,MING TECK PARK,277375",103.787005962926,1.31801879040484
1338,BIG EINSTEIN ACADEMY @ TAMPINES PTE LTD,PRESCHOOL,"497C,TAMPINES STREET 45,#01-54,522497",103.958367360305,1.35825225174873
1028,BLOOM EDUCARE PTE LTD,PRESCHOOL,"86,JALAN PERGAM,EAST VIEW GARDEN,488362",103.962549698472,1.34691754063079
1525,BLOSSOM CREATIVE CENTRE LLP,PRESCHOOL,"8,JALAN LIMAU PURUT,468182",103.946552107131,1.32260373254391
1634,BLOSSOM DISCOVERY CENTRE LLP,PRESCHOOL,"275A,LORONG CHUAN,556770",103.867837340108,1.357238480282
372,BLOSSOM EDUCARE CENTRE LLP,PRESCHOOL,"7,LORONG BATAWI,536668",103.897529177951,1.37067048377671
1069,BLOSSOM FANTASIA CENTRE PTE. LTD.,PRESCHOOL,"26,MARIAM CLOSE,CHANGI GROVE,508668",103.968859193015,1.36159623268582
1339,BLOSSOM GENESIS CENTRE PTE LTD,PRESCHOOL,"201,BISHAN STREET 23,#01-467,570201",103.846946060532,1.35506686853913
962,BLUE HOUSE (MUTIARA),PRESCHOOL,"17,JALAN MUTIARA,249196",103.828018548794,1.29544467770808
625,BLUE HOUSE CHILDCARE,PRESCHOOL,"17,RAMBAI ROAD,424336",103.90576122478,1.31118408612062
337,BLUE HOUSE CHILDCARE (KAY SIANG) PTE LTD,PRESCHOOL,"19,KAY SIANG ROAD,248935",103.809602448982,1.29837202302038
1759,BLUE LION PRESCHOOL,PRESCHOOL,"10,PALM AVENUE,#02-01,SIGLAP POST OFFICE,456532",103.929964083139,1.31335770636693
1628,BRAINFIT SCHOOL HOUSE PTE LTD,PRESCHOOL,"18,AH HOOD ROAD,#4-51,HIAP HOE BUILDING AT ZHONGSHAN PARK,329983",103.846650410884,1.32717562161128
501,BRAINY BUNCH HOUGANG PTE. LTD.,PRESCHOOL,"247,HOUGANG AVENUE 3,#01-452,530247",103.891524293017,1.35916575005657
1771,BRAINY BUNCH PASIR RIS PTE LTD,PRESCHOOL,"273,PASIR RIS STREET 21,#01-498,510273",103.964113174726,1.36484627527981
1653,BRAINY BUNCH WOODLANDS PTE LTD,PRESCHOOL,"21,WOODLANDS CLOSE,#01-10/11,PRIMZ BIZHUB,737854",103.804760536879,1.43502365592364
948,BRIGHT CHILD EDUCARE CENTRE,PRESCHOOL,"128,MARSILING RISE,#01-256,730128",103.778927259843,1.43745488294257
1299,BRIGHT KIDS @ JURONG WEST PTE LTD,PRESCHOOL,"641,JURONG WEST STREET 61,#01-38,640641",103.696356784294,1.34066811398303
1298,BRIGHT KIDS @ PASIR RIS PTE LTD,PRESCHOOL,"764,PASIR RIS STREET 71,#01-246,510764",103.934559269205,1.37630704678294
1010,BRIGHT KIDS SCHOOL HOUSE PTE LTD,PRESCHOOL,"192,PUNGGOL CENTRAL,#01-311,820192",103.90951433139,1.39977092552222
1183,BRIGHT KIDS SCHOOL HOUSE PTE LTD,PRESCHOOL,"173D,PUNGGOL FIELD,#01-635,824173",103.910764686722,1.39600799204919
1203,BRIGHT KIDS SCHOOL HOUSE PTE LTD,PRESCHOOL,"175D,PUNGGOL FIELD,#01-531,824175",103.907769343307,1.39847060510127
1379,BRIGHT LEARNERS PRESCHOOL,PRESCHOOL,"217,EAST COAST ROAD,#03-01,TIDES,428915",103.906933727682,1.30759648518797
346,BRIGHT PATH INCLUSIVE PRESCHOOL,PRESCHOOL,"190,ANG MO KIO AVENUE 8,#3-02,THE GRASSROOTS' CLUB,568046",103.846551926692,1.38073719111432
326,BRIGHT SPARKS CHILDCARE (CITY CAMPUS) PTE. LTD.,PRESCHOOL,"633,VEERASAMY ROAD,#01-134,200633",103.854943251549,1.30570669675965
1762,BRIGHT SPARKS CHILDCARE LLP,PRESCHOOL,"401,WOODLANDS STREET 41,#01-30,730401",103.772775923524,1.43044908253351
1761,BRIGHT SPARKS INFANT CARE PTE. LTD,PRESCHOOL,"851,WOODLANDS STREET 83,#01-18,NIL,730851",103.79267558158,1.44046011981824
1426,BRIGHTON MONTESSORI ANG MO KIO (THE GRASSROOTS' CLUB),PRESCHOOL,"190,ANG MO KIO AVENUE 8,#02-01,568046",103.846551926692,1.38073719111432
1402,BRIGHTON MONTESSORI FRANKEL,PRESCHOOL,"125,FRANKEL AVENUE,458235",103.919891264179,1.31356351227081
510,BRIGHTON MONTESSORI HARBOURFRONT,PRESCHOOL,"1,MARITIME SQUARE,#03-01/04,HARBOURFRONT CENTRE,099253",103.852535916404,1.29684825480832
1171,BRIGHTON MONTESSORI HILLVIEW,PRESCHOOL,"1,HILLVIEW RISE,#01-02,667970",103.764266382093,1.3619672534168
1281,BRIGHTON MONTESSORI KOVAN,PRESCHOOL,"5A,PARRY AVENUE,547227",103.876884882643,1.36416808280893
1409,BRIGHTON MONTESSORI MOUNTBATTEN,PRESCHOOL,"764,MOUNTBATTEN ROAD,437764",103.892456455621,1.30002940560597
1037,BRIGHTON MONTESSORI RIVER VALLEY,PRESCHOOL,"370,RIVER VALLEY ROAD,248279",103.830630273709,1.29629183814515
1420,BRIGHTON MONTESSORI RIVER VALLEY (CRYSTAL COURT),PRESCHOOL,"456,RIVER VALLEY ROAD,#01-01,CRYSTAL COURT,248342",103.826988034433,1.29414630960587
1449,BRIGHTON MONTESSORI SUNSET WAY,PRESCHOOL,"41,SUNSET WAY,#02-01,CLEMENTI ARCADE,597071",103.767260053747,1.32325040079253
920,BRILLIANT KIDS LEARNING COVE,PRESCHOOL,"91,BUKIT BATOK WEST AVENUE 2,#02-02,CLUB CSC @ BUKIT BATOK,659206",103.749284031946,1.3526303227142
