ROAD_NAME,BUILDING,ADDRESS,POSTAL,LATITUDE,LONGITUDE
AIRPORT BOULEVARD,CHANGI AIRPORT MRT STATION (CG2),70 AIRPORT BOULEVARD CHANGI AIRPORT MRT STATION (CG2) SINGAPORE 819661,819661,1.357478974,103.9878836
TELOK BLANGAH ROAD,HARBOURFRONT MRT STATION (NE1 / CC29),81 TELOK BLANGAH ROAD HARBOURFRONT MRT STATION (NE1 / CC29) SINGAPORE 098867,98867,1.265389384,103.8215302
EU TONG SEN STREET,OUTRAM PARK MRT STATION (NE3),300 EU TONG SEN STREET OUTRAM PARK MRT STATION (NE3) SINGAPORE 059816,59816,1.279720594,103.8394399
NEW BRIDGE ROAD,CHINATOWN MRT STATION (NE4),151 NEW BRIDGE ROAD CHINATOWN MRT STATION (NE4) SINGAPORE 059443,59443,1.284359593,103.8434267
EU TONG SEN STREET,CLARKE QUAY MRT STATION (NE5),10 EU TONG SEN STREET CLARKE QUAY MRT STATION (NE5) SINGAPORE 059815,59815,1.288386024,103.8465552
ORCHARD ROAD,DHOBY GHAUT MRT STATION (NE6),60 ORCHARD ROAD DHOBY GHAUT MRT STATION (NE6) SINGAPORE 238889,238889,1.299704581,103.8454885
BUKIT TIMAH ROAD,LITTLE INDIA MRT STATION (NE7),60 BUKIT TIMAH ROAD LITTLE INDIA MRT STATION (NE7) SINGAPORE 229900,229900,1.306800197,103.8496471
RACE COURSE ROAD,FARRER PARK MRT STATION (NE8),250 RACE COURSE ROAD FARRER PARK MRT STATION (NE8) SINGAPORE 218703,218703,1.311905573,103.8534777
SERANGOON ROAD,BOON KENG MRT STATION (NE9),900 SERANGOON ROAD BOON KENG MRT STATION (NE9) SINGAPORE 328260,328260,1.319335709,103.8615695
UPPER SERANGOON ROAD,POTONG PASIR MRT STATION (NE10),55 UPPER SERANGOON ROAD POTONG PASIR MRT STATION (NE10) SINGAPORE 347694,347694,1.33137949,103.8690557
UPPER SERANGOON ROAD,WOODLEIGH MRT STATION (NE11),400 UPPER SERANGOON ROAD WOODLEIGH MRT STATION (NE11) SINGAPORE 347695,347695,1.339190045,103.8708183
UPPER SERANGOON ROAD,SERANGOON MRT STATION (NE12),600 UPPER SERANGOON ROAD SERANGOON MRT STATION (NE12) SINGAPORE 534801,534801,1.349707881,103.8735748
UPPER SERANGOON ROAD,KOVAN MRT STATION (NE13),900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799,534799,1.360179171,103.8850649
HOUGANG CENTRAL,HOUGANG MRT STATION (NE14),80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758,538758,1.371292266,103.8923805
SENGKANG CENTRAL,BUANGKOK MRT STATION (NE15),10 SENGKANG CENTRAL BUANGKOK MRT STATION (NE15) SINGAPORE 545061,545061,1.38287002,103.8931226
SENGKANG SQUARE,SENGKANG MRT STATION (NE16),5 SENGKANG SQUARE SENGKANG MRT STATION (NE16) SINGAPORE 545062,545062,1.391694626,103.8954847
PUNGGOL CENTRAL,PUNGGOL MRT STATION (NE17),70 PUNGGOL CENTRAL PUNGGOL MRT STATION (NE17) SINGAPORE 828868,828868,1.404546537,103.9020726
NEW PUNGGOL ROAD,PUNGGOL COAST MRT STATION (NE18),101 NEW PUNGGOL ROAD PUNGGOL COAST MRT STATION (NE18) SINGAPORE 828604,828604,1.414927334,103.9101664
JURONG EAST STREET 12,JURONG EAST MRT STATION (EW24 / NS1),10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690,609690,1.333152816,103.7422863
BUKIT BATOK CENTRAL,BUKIT BATOK MRT STATION (NS2),10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958,659958,1.349033312,103.7495665
BUKIT BATOK WEST AVENUE 5,BUKIT GOMBAK MRT STATION (NS3),802 BUKIT BATOK WEST AVENUE 5 BUKIT GOMBAK MRT STATION (NS3) SINGAPORE 659083,659083,1.358611591,103.7517909
CHOA CHU KANG AVENUE 4,CHOA CHU KANG MRT STATION (NS4),10 CHOA CHU KANG AVENUE 4 CHOA CHU KANG MRT STATION (NS4) SINGAPORE 689810,689810,1.385363165,103.7443708
CHOA CHU KANG DRIVE,YEW TEE MRT STATION (NS5),61 CHOA CHU KANG DRIVE YEW TEE MRT STATION (NS5) SINGAPORE 689715,689715,1.397535069,103.7474052
WOODLANDS ROAD,KRANJI MRT STATION (NS7),960 WOODLANDS ROAD KRANJI MRT STATION (NS7) SINGAPORE 738702,738702,1.425086981,103.7621375
WOODLANDS AVENUE 3,MARSILING MRT STATION (NS8),71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044,739044,1.432521149,103.7740746
WOODLANDS AVENUE 2,WOODLANDS MRT STATION (NS9),30 WOODLANDS AVENUE 2 WOODLANDS MRT STATION (NS9) SINGAPORE 738343,738343,1.43681963,103.7860668
WOODLANDS AVENUE 7,ADMIRALTY MRT STATION (NS10),70 WOODLANDS AVENUE 7 ADMIRALTY MRT STATION (NS10) SINGAPORE 738344,738344,1.440588562,103.8009905
CANBERRA ROAD,SEMBAWANG MRT STATION (NS11),11 CANBERRA ROAD SEMBAWANG MRT STATION (NS11) SINGAPORE 759775,759775,1.449050822,103.8200461
CANBERRA LINK,CANBERRA MRT STATION (NS12),11 CANBERRA LINK CANBERRA MRT STATION (NS12) SINGAPORE 756972,756972,1.443076641,103.8297026
YISHUN AVENUE 2,YISHUN MRT STATION (NS13),301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093,769093,1.429443085,103.835005
YISHUN AVENUE 2,KHATIB MRT STATION (NS14),201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092,769092,1.41738337,103.8329799
ANG MO KIO AVENUE 8,YIO CHU KANG MRT STATION (NS15),3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION (NS15) SINGAPORE 569813,569813,1.381755871,103.8449473
ANG MO KIO AVENUE 8,ANG MO KIO MRT STATION (NS16),2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812,569812,1.36993285,103.8495581
BISHAN ROAD,BISHAN MRT STATION (NS17),200 BISHAN ROAD BISHAN MRT STATION (NS17) SINGAPORE 579827,579827,1.350838988,103.848144
LORONG 1 TOA PAYOH,BRADDELL MRT STATION (NS18),377 LORONG 1 TOA PAYOH BRADDELL MRT STATION (NS18) SINGAPORE 319756,319756,1.340469001,103.8467991
LORONG 6 TOA PAYOH,TOA PAYOH MRT STATION (NS19),510 LORONG 6 TOA PAYOH TOA PAYOH MRT STATION (NS19) SINGAPORE 319398,319398,1.332629281,103.8475022
THOMSON ROAD,NOVENA MRT STATION (NS20),250 THOMSON ROAD NOVENA MRT STATION (NS20) SINGAPORE 307642,307642,1.320440791,103.8438256
SCOTTS ROAD,NEWTON MRT STATION (NS21),49 SCOTTS ROAD NEWTON MRT STATION (NS21) SINGAPORE 228234,228234,1.312318922,103.8379846
ORCHARD ROAD,ORCHARD MRT STATION (NS22),437 ORCHARD ROAD ORCHARD MRT STATION (NS22) SINGAPORE 238878,238878,1.303980137,103.8322452
SOMERSET ROAD,SOMERSET MRT STATION (NS23),1 SOMERSET ROAD SOMERSET MRT STATION (NS23) SINGAPORE 238162,238162,1.300264167,103.8390858
ORCHARD ROAD,DHOBY GHAUT MRT STATION (NS24),11 ORCHARD ROAD DHOBY GHAUT MRT STATION (NS24) SINGAPORE 238826,238826,1.298701325,103.8461137
NORTH BRIDGE ROAD,CITY HALL MRT STATION (EW13 / NS25),150 NORTH BRIDGE ROAD CITY HALL MRT STATION (EW13 / NS25) SINGAPORE 179100,179100,1.292936722,103.8525856
RAFFLES PLACE,RAFFLES PLACE MRT STATION (EW14 / NS26),5 RAFFLES PLACE RAFFLES PLACE MRT STATION (EW14 / NS26) SINGAPORE 048618,48618,1.28412561,103.8514617
PARK STREET,MARINA BAY MRT STATION (NS27),21 PARK STREET MARINA BAY MRT STATION (NS27) SINGAPORE 018925,18925,1.276410299,103.8545955
MARINA COASTAL DRIVE,MARINA SOUTH PIER MRT STATION (NS28),33 MARINA COASTAL DRIVE MARINA SOUTH PIER MRT STATION (NS28) SINGAPORE 018948,18948,1.271027036,103.8624475
ORCHARD ROAD,DHOBY GHAUT MRT STATION (CC1),13 ORCHARD ROAD DHOBY GHAUT MRT STATION (CC1) SINGAPORE 238893,238893,1.298911644,103.8462925
