Station Name,Exit Code,Latitude,Longitude
CALDECOTT MRT STATION,Exit 2,1.33825972994181,103.840387499238
CALDECOTT MRT STATION,Exit 4,1.33675087511065,103.839882429752
CALDECOTT MRT STATION,Exit 3,1.33783202317926,103.840464745299
CALDECOTT MRT STATION,Exit 1,1.33710531669564,103.839406731225
CANBERRA MRT STATION,Exit E,1.44325591355701,103.830116233173
CANBERRA MRT STATION,Exit D,1.44351133884481,103.829254643947
CANBERRA MRT STATION,Exit A,1.44363014106056,103.829527975861
CANBERRA MRT STATION,Exit B,1.44293514818295,103.829961741209
CANBERRA MRT STATION,Exit C,1.44280446541205,103.829700293337
CASHEW MRT STATION,Exit A,1.36983331859629,103.764234480711
CHANGI AIRPORT MRT STATION,Exit A,1.3563414210048,103.989276642414
CHANGI AIRPORT MRT STATION,Exit B,1.35722025606017,103.987304579798
CHENG LIM LRT STATION,Exit A,1.39637321823541,103.893684874277
CHENG LIM LRT STATION,Exit B,1.3961869711233,103.893920331573
CHINATOWN MRT STATION,Exit D,1.28540645998668,103.843476210528
CHINATOWN MRT STATION,Exit F,1.28427477607278,103.845462531796
CHINATOWN MRT STATION,Exit C,1.2846748973681,103.842812853584
CHINATOWN MRT STATION,Exit G,1.28473608363703,103.84445854173
CHINATOWN MRT STATION,Exit A,1.28371277043019,103.8437978881
CHINATOWN MRT STATION,Exit E,1.28504408060892,103.844428119405
CHINESE GARDEN MRT STATION,Exit A,1.34243874323998,103.732220154829
CHINESE GARDEN MRT STATION,Exit B,1.34198208956493,103.732741825545
CHINESE GARDEN MRT STATION,Exit C,1.34156582633258,103.733393135763
CHOA CHU KANG LRT STATION,Exit B,1.38497966418718,103.744595143026
CHOA CHU KANG LRT STATION,Exit E,1.38499999972745,103.744620000447
CHOA CHU KANG MRT STATION,Exit D,1.38570539067001,103.744223583926
CHOA CHU KANG MRT STATION,Exit C,1.38573618540312,103.744517798771
CHOA CHU KANG MRT STATION,Exit B,1.38459999970902,103.744470000052
CHOA CHU KANG MRT STATION,Exit C,1.38572999956458,103.74447000019
CHOA CHU KANG MRT STATION,Exit D,1.38536999970775,103.744110000392
CHOA CHU KANG MRT STATION,Exit A,1.38539999996952,103.744560000291
CHOA CHU KANG MRT STATION,Exit A,1.38543128087598,103.744557135368
CITY HALL MRT STATION,Exit C,1.29304184790826,103.852980287708
CITY HALL MRT STATION,Exit D,1.29345482595132,103.851802333809
CITY HALL MRT STATION,Exit B,1.29309991857995,103.851960217746
CITY HALL MRT STATION,Exit A,1.29322711034183,103.853020413551
CLARKE QUAY MRT STATION,Exit C,1.28938385187247,103.846665833855
CLARKE QUAY MRT STATION,Exit F,1.28940556680266,103.847129742733
CLARKE QUAY MRT STATION,Exit E,1.28900018307139,103.847032643299
CLARKE QUAY MRT STATION,Exit A,1.28689878783571,103.846064543773
CLARKE QUAY MRT STATION,Exit G,1.28919925781809,103.846593909165
CLARKE QUAY MRT STATION,Exit B,1.28780575265584,103.845903432736
CLEMENTI MRT STATION,Exit B,1.31546912943168,103.765185566729
CLEMENTI MRT STATION,Exit D,1.314078414345,103.765570116184
CLEMENTI MRT STATION,Exit A,1.31537355787444,103.764982102595
CLEMENTI MRT STATION,Exit C,1.31416229810691,103.765749815719
COMMONWEALTH MRT STATION,Exit D,1.30201271935133,103.798720258772
COMMONWEALTH MRT STATION,Exit C,1.30207704580319,103.798778572605
COMMONWEALTH MRT STATION,Exit B,1.30275277699775,103.798057882031
COMMONWEALTH MRT STATION,Exit A,1.30264816140773,103.797958292266
COMPASSVALE LRT STATION,Exit A,1.39432752151004,103.9006164696
COMPASSVALE LRT STATION,Exit B,1.39453417229989,103.900706597553
CORAL EDGE LRT STATION,Exit A,1.39368465222162,103.91265223397
CORAL EDGE LRT STATION,Exit B,1.39397080711083,103.912708744367
COVE LRT STATION,Exit A,1.399124393509,103.905928735776
COVE LRT STATION,Exit B,1.39930265660882,103.9061760136
DAKOTA MRT STATION,Exit A,1.30881418752426,103.889307215344
DAKOTA MRT STATION,Exit B,1.30809675040545,103.887979337682
DAMAI LRT STATION,Exit A,1.40528461343374,103.908792226992
DAMAI LRT STATION,Exit B,1.40504602830874,103.908613856028
DHOBY GHAUT MRT STATION,Exit B,1.29905589070891,103.845229558929
DHOBY GHAUT MRT STATION,Exit D,1.29993066561743,103.845030131864
DHOBY GHAUT MRT STATION,Exit C,1.29964924216132,103.844747857191
DHOBY GHAUT MRT STATION,Exit A,1.29844509204817,103.846787971786
DHOBY GHAUT MRT STATION,Exit F,1.29963489191106,103.845842318018
DHOBY GHAUT MRT STATION,Exit E,1.29974847066982,103.84537229423
DOVER MRT STATION,Exit B,1.31169319167964,103.778464771304
DOVER MRT STATION,Exit A,1.31141543344877,103.778304715288
DOWNTOWN MRT STATION,Exit C,1.27944436839161,103.853152091961
DOWNTOWN MRT STATION,Exit D,1.27917604078089,103.853013759131
DOWNTOWN MRT STATION,Exit B,1.27960131828225,103.85290812847
DOWNTOWN MRT STATION,Exit A,1.27977345528297,103.852646560011
DOWNTOWN MRT STATION,Exit E,1.27952791063231,103.852478046399
DOWNTOWN MRT STATION,Exit F,1.27979623969206,103.852427746441
ESPLANADE MRT STATION,Exit G,1.29358640073634,103.85492020244
ESPLANADE MRT STATION,Exit E,1.29312881366023,103.855567841069
ESPLANADE MRT STATION,Exit F,1.29381950731267,103.855104632111
ESPLANADE MRT STATION,Exit D,1.29262374346665,103.85583375579
ESPLANADE MRT STATION,Exit C,1.29290433691952,103.855855203772
ESPLANADE MRT STATION,Exit B,1.29292718733646,103.856175670935
ESPLANADE MRT STATION,Exit A,1.29337054827687,103.856305554739
EUNOS MRT STATION,Exit C,1.31952991880127,103.903215186978
EUNOS MRT STATION,Exit B,1.3195625452698,103.902582077618
EUNOS MRT STATION,Exit A,1.31951727489935,103.902894137842
EXPO MRT STATION,Exit A,1.33548282216596,103.961836795084
