name,street_name,postal_code,block_number,CC / PassionWave,longitude,latitude
Sembawang CC (Pending U/C),Sembawang Road,758528,2125,CC,103.828783247126,1.4516815276281
Sengkang CC,Sengkang Square,545025,2,CC,103.893906102774,1.39278558587024
Senja-Cashew CC,Bukit Panjang Road,679910,101,CC,103.76465958417,1.38158679008906
Siglap CC,Bedok South Avenue 3,469299,300,CC,103.9433365555,1.32163185812187
Siglap CC (U/C),Bedok South Road,460151,151,CC,103.946742143134,1.31729193602696
Siglap South CC,Palm Road,456441,6,CC,103.930623466344,1.3131589522001
Taman Jurong CC,Yung Sheng Road,618495,1,CC,103.721626399564,1.3353068008328
Tampines Central CC,Tampines Walk,528523,1,CC,103.939683594446,1.35349615471813
Tampines Changkat CC (U/C),Tampines Street 11,529453,13,CC,103.947687834643,1.3458133461735
Tampines East CC,Tampines Street 23,529341,10,CC,103.954620461629,1.35335682593433
Tampines North CC (U/C),Tampines Street 41,529204,2,CC,103.946602685067,1.35736478775974
Tampines West CC,Tampines Avenue 3,529705,5,CC,103.935633408895,1.34875076398822
Tanglin CC,Whitley Road,297829,245,CC,103.826877183466,1.32338446818001
Tanjong Pagar CC,Cantonment Road,089774,101,CC,103.841584210034,1.27616698002633
Teck Ghee CC,Ang Mo Kio Avenue 10,569734,861,CC,103.853536076665,1.36308867917974
Telok Blangah CC,Telok Blangah Street 31,108943,450,CC,103.807875435609,1.27486265663736
Tengah CC (U/C),Plantation Crescent,690119,119,CC,103.734500050293,1.35675241769837
The Frontier CC,Jurong West Central 3,648346,60,CC,103.704452685304,1.34046956412475
The Serangoon CC,Serangoon North Avenue 2,555877,10,CC,103.873927617452,1.37005486240283
Thomson CC (Till 1Q 2022),Bishan Street 22,570233,233,CC,103.845522522015,1.35858841571498
Thomson CC (U/C),Upper Thomson Road,574339,194,CC,103.83626228639,1.35125385335026
Tiong Bahru CC,Eu Chin Street,169715,67A,CC,103.831882714575,1.28345251714882
Toa Payoh Central CC (Pendng U/C),Toa Payoh Central,319194,93,CC,103.850204545922,1.33493451709456
Toa Payoh East CC (Pending relocation),Lorong 6 Toa Payoh,319380,160,CC,103.85470024903,1.33627489206396
Toa Payoh South CC (Pending relocation),Lorong 8 Toa Payoh,319258,1999,CC,103.859378979813,1.33489037046643
Toa Payoh West CC,Lorong 2 Toa Payoh,319642,200,CC,103.844830875826,1.3353827124599
Ulu Pandan CC (U/C),Ghim Moh Road,279621,170,CC,103.789211186001,1.31200940949362
West Coast CC,Clementi West Street 2,129605,2,CC,103.764832077473,1.30264555979077
Whampoa CC,Whampoa Drive,327737,300,CC,103.856979169641,1.32463959408329
Woodgrove CC,Woodlands Ave 1,730353,353,CC,103.785006866148,1.43177102177052
Woodlands CC (Pending U/C),Woodlands Street 81,738526,1,CC,103.788235404817,1.43973033862036
Woodlands Galaxy CC,Woodlands Avenue 6,738991,31,CC,103.802610984283,1.43904160690114
Yew Tee CC,Choa Chu Kang Street 52,689286,20,CC,103.744727853367,1.39491758447052
Yio Chu Kang CC (Pending U/C),Ang Mo Kio Street 61,569163,50,CC,103.841428124035,1.38151727157775
Yishun Link CC,Yishun Ring Road,760413,413,CC,103.846399217959,1.42503566854712
Yuhua CC,Boon Lay Way,609958,90,CC,103.737065915264,1.33997285278881
Zhenghua CC (Pending U/C),Segar Road,677738,1,CC,103.771520846382,1.3868068291971
imPAct@Hong Lim Green,Upper Pickering Street,058284,20,CC,103.846479315186,1.28632940482837
