,mall_name,address,latitude,longitude
20,BUANGKOK SQUARE,991B BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 532991,1.38398477376889,103.882486324738
21,BUGIS CUBE,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,1.2981408343975,103.855635339249
22,BUGIS JUNCTION,200 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188021,1.29911287475873,103.855411173758
24,BUGIS STREET,3 NEW BUGIS STREET NEW BUGIS STREET SINGAPORE 188867,1.3005660952208,103.854935164999
25,BUGIS+,201 VICTORIA STREET BUGIS+ SINGAPORE 188067,1.29960368990297,103.854242347489
27,BUKIT PANJANG PLAZA,1 JELEBU ROAD BUKIT PANJANG PLAZA SINGAPORE 677743,1.37992045176243,103.764357180314
28,BUKIT TIMAH PLAZA,1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588996,1.33875930729064,103.778600077834
29,CANBERRA PLAZA,133 CANBERRA VIEW CANBERRA PLAZA SINGAPORE 750133,1.44349544527985,103.830345369213
30,CAPITOL PIAZZA,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,1.29307884763132,103.851261982149
31,CAPITOL SINGAPORE,11 STAMFORD ROAD EDEN RESIDENCES CAPITOL SINGAPORE 178884,1.29298775382221,103.851046829843
33,CATHAY CINELEISURE ORCHARD,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695,1.30152101873533,103.836429655016
34,CAUSEWAY POINT,1 WOODLANDS SQUARE CATHAY CINEPLEX CAUSEWAY POINT SINGAPORE 738099,1.43600784474269,103.78568873405
36,CENTURY SQUARE,2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,1.35236829566862,103.943812302253
38,CHANGE ALLEY,50 OXLEY ROAD VALLEY MANSION SINGAPORE 238636,1.29658018008284,103.840472332291
39,CHANGI CITY POINT,5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT SINGAPORE 486038,1.33403637902708,103.962917615531
40,CHINATOWN POINT,133 NEW BRIDGE ROAD CHINATOWN POINT SINGAPORE 059413,1.28499882847401,103.844697081142
41,CITY GATE MALL,371 BEACH ROAD CITY GATE SINGAPORE 199597,1.30231590504573,103.862331661034
42,CITY PLAZA,810 GEYLANG ROAD CITY PLAZA SINGAPORE 409286,1.3147868971977,103.893472115119
43,CITY SQUARE MALL,180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539,1.31142103107683,103.856624019991
45,CITYLINK MALL,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393,1.2927777312893,103.854173501417
46,CLARKE QUAY CENTRAL,CLARKE QUAY,1.29044567334673,103.845688049938
48,CLEMENTI MALL,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588,1.31489619639366,103.764423054189
49,COMPASS ONE,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,1.39205314156706,103.89507054384
50,DAWSON PLACE,57 DAWSON ROAD DAWSON PLACE SINGAPORE 142057,1.29270339855062,103.810958956467
51,DESIGN ORCHARD,250 ORCHARD ROAD DESIGN ORCHARD SINGAPORE 238905,1.30204111126888,103.837945233863
52,DJITSUN MALL,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,1.32611970329469,103.929554495615
54,DOWNTOWN EAST,1 PASIR RIS CLOSE CATHAY CINEPLEX DOWNTOWN EAST SINGAPORE 519599,1.37595122154029,103.955598940037
55,DUO,7 FRASER STREET DUO GALLERIA SINGAPORE 189356,1.29953434891664,103.85840168774
56,EASTPOINT MALL,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,1.34270592355576,103.953024618234
58,ELIAS MALL,623 ELIAS ROAD AMAR KIDZ @ ELIAS MALL PTE. LTD. SINGAPORE 510623,1.37790533095468,103.94233582068
59,ESPLANADE MALL,8 RAFFLES AVENUE ESPLANADE MALL SINGAPORE 039802,1.28964784521264,103.856267250977
60,FAJAR SHOPPING CENTRE,446 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670446,1.38400582466296,103.771029603101
61,FAR EAST PLAZA,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213,1.30717698071189,103.833792932243
62,FORUM THE SHOPPING MALL,583 ORCHARD ROAD FORUM THE SHOPPING MALL SINGAPORE 238884,1.30609752164563,103.828678556041
64,FU LU SHOU COMPLEX,149 ROCHOR ROAD FU LU SHOU COMPLEX SINGAPORE 188425,1.30151258571919,103.854497235401
65,FUNAN,107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105,1.29134759697794,103.849989790085
67,GEK POH SHOPPING CENTRE,762 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640762,1.34874357136408,103.697732091001
68,GRANTRAL MALL,3151 COMMONWEALTH AVENUE WEST GRANTRAL MALL @ CLEMENTI SINGAPORE 129581,1.31427043922294,103.765147487482
69,GREAT WORLD,1 KIM SENG PROMENADE GREAT WORLD CITY SINGAPORE 237994,1.29342272650003,103.832022146655
71,GREAT WORLD CITY,1 KIM SENG PROMENADE GREAT WORLD CITY SINGAPORE 237994,1.29342272650003,103.832022146655
72,GREENRIDGE SHOPPING CENTRE,524A JELAPANG ROAD GREENRIDGE SHOPPING CENTRE SINGAPORE 671524,1.38540569283271,103.766228468185
73,GREENWICH V,1 SELETAR ROAD GREENWICH V SINGAPORE 807011,1.38739539397015,103.869135978173
74,GRID,1 SELEGIE ROAD GR.ID SINGAPORE 188306,1.30010826723486,103.849264127911
75,GV YISHUN,51 YISHUN CENTRAL 1 GOLDEN VILLAGE (GV YISHUN) SINGAPORE 768794,1.42991554202388,103.836473396124
76,HARBOURFRONT CENTRE,1 MARITIME SQUARE HARBOURFRONT CENTRE SINGAPORE 099253,1.26396991176004,103.820243325181
77,HDB HUB,490 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310490,1.33256779261697,103.848418718015
78,HEARTLAND MALL,205 HOUGANG STREET 21 HEARTLAND MALL-KOVAN SINGAPORE 530205,1.35954177325561,103.885167372726
79,HILLION MALL,17 PETIR ROAD HILLION MALL SINGAPORE 678278,1.37843100827586,103.762842789877
81,HILLV2,4 HILLVIEW RISE HILLV2 SINGAPORE 667979,1.36267450828024,103.76417292006
82,HOLLAND ROAD SHOPPING CENTRE,211 HOLLAND AVENUE HOLLAND ROAD SHOPPING CENTRE SINGAPORE 278967,1.31027747574118,103.795371163103
83,HOUGANG 1,1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692,1.37571530699875,103.879472337592
84,HOUGANG MALL,90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,1.37249493810003,103.893775562605
86,I12 KATONG,46 CEYLON ROAD BELLEZZA @ KATONG SINGAPORE 429634,1.3069059800853,103.902076705616
87,IMM,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,1.33487526118006,103.746894773008
88,ION ORCHARD,2 ORCHARD TURN ION ORCHARD SINGAPORE 238801,1.30397974144505,103.832032328465
89,JEM,52 JURONG GATEWAY ROAD JEM SINGAPORE 608550,1.33305999269581,103.743503708169
91,JEWEL CHANGI AIRPORT,78 AIRPORT BOULEVARD JEWEL CHANGI AIRPORT SINGAPORE 819666,1.3603410066102,103.98907755021
92,JUBILEE SQUARE,61 ANG MO KIO AVENUE 8 JUBILEE SQUARE SINGAPORE 569814,1.37178558575829,103.847837565378
93,JUNCTION 10,1 WOODLANDS ROAD JUNCTION 10 SINGAPORE 677899,1.38033681049385,103.760167883439
94,JUNCTION 8,9 BISHAN PLACE JUNCTION 8 SINGAPORE 579837,1.3504812534505,103.848760473211
96,JUNCTION NINE,18 YISHUN AVENUE 9 JUNCTION NINE SINGAPORE 768897,1.4331228398318,103.84166098599
97,JURONG POINT,1 JURONG WEST CENTRAL 2 GOLDEN VILLAGE (GV JURONG POINT) SINGAPORE 648886,1.3394520043632,103.706685012926
98,KALLANG WAVE MALL,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,1.30307515150401,103.873149707591
100,KATONG SHOPPING CENTRE,865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE SINGAPORE 437844,1.3040973115095,103.901515916971
102,KATONG SQUARE,88 EAST COAST ROAD KATONG SQUARE SINGAPORE 423371,1.30477683917233,103.904617722414
103,KEAT HONG SHOPPING CENTRE,253 CHOA CHU KANG AVENUE 1 KEAT HONG SHOPPING CENTRE SINGAPORE 680253,1.37736607441394,103.744393648768
104,KINEX,11 TANJONG KATONG ROAD KINEX SINGAPORE 437157,1.31461849889242,103.894738004768
105,KNIGHTSBRIDGE,270 ORCHARD ROAD KNIGHTSBRIDGE SINGAPORE 238857,1.3029831225958,103.836283923443
106,LEISURE PARK KALLANG,5 STADIUM WALK FILMGARDE AT LEISURE PARK KALLANG SINGAPORE 397693,1.30240462507128,103.876638148971
107,LIAT TOWERS,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881,1.30508722710852,103.830722581168
108,LIMBANG SHOPPING CENTRE,533A CHOA CHU KANG STREET 51 LIMBANG SHOPPING CENTRE SINGAPORE 681533,1.39164865474084,103.743387228295
109,LOT ONE,21 CHOA CHU KANG AVENUE 4 SHAW THEATRES LOT ONE SINGAPORE 689812,1.38506992325619,103.745238868238
111,LOYANG POINT,259 PASIR RIS STREET 21 LOYANG POINT SINGAPORE 510259,1.36645364010349,103.964598499523
112,LUCKY PLAZA,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,1.30450604646634,103.833962339817
114,MANDARIN GALLERY,333A ORCHARD ROAD MANDARIN GALLERY SINGAPORE 238897,1.30200471731963,103.836583965806
116,MARINA BAY LINK MALL,8A MARINA BOULEVARD MARINA BAY LINK MALL SINGAPORE 018984,1.28023825446086,103.853369662547
117,MARINA SQUARE,6 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039594,1.29185533273026,103.85857808906
119,MARSILING MALL,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623,1.43354318137534,103.77988189197
120,MIDPOINT ORCHARD,220 ORCHARD ROAD MIDPOINT ORCHARD SINGAPORE 238852,1.30178778502846,103.838659766022
121,MILLENIA WALK,9 RAFFLES BOULEVARD MILLENIA WALK SINGAPORE 039596,1.29260544462492,103.859724944443
122,MUSTAFA CENTRE,145 SYED ALWI ROAD MUSTAFA CENTRE SINGAPORE 207704,1.31011213190394,103.855290873926
124,MUSTAFA SHOPPING CENTRE,368 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159952,1.28893477974497,103.805607779399
125,MYVILLAGE AT SERANGOON GARDEN,1 MAJU AVENUE MYVILLAGE AT SERANGOON GARDEN SINGAPORE 556679,1.36511490572797,103.865159501442
126,NEX,23 SERANGOON CENTRAL NEX SINGAPORE 556083,1.35076935257845,103.872296143862
128,NGEE ANN CITY,391 ORCHARD ROAD NGEE ANN CITY SINGAPORE 238872,1.30224168528687,103.835181912297
130,NORTHPOINT CITY,NORTHPOINT CITY,1.42811357691004,103.836063081819
131,NORTHSHORE PLAZA,407 NORTHSHORE DRIVE NORTHSHORE PLAZA I SINGAPORE 820407,1.41676127156324,103.902074379502
132,NOVENA SQUARE,238B THOMSON ROAD NOVENA SQUARE SINGAPORE 307685,1.31931136768991,103.84414790483
133,OASIS TERRACES,681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681,1.40278015725693,103.913215101343
134,ONE HOLLAND VILLAGE,7 HOLLAND VILLAGE WAY ONE HOLLAND VILLAGE SINGAPORE 275748,1.31104916811064,103.794145546471
136,ORCHARD CENTRAL,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896,1.30083890839245,103.839434733899
138,ORCHARD GATEWAY,277 ORCHARD ROAD ORCHARD GATEWAY SINGAPORE 238858,1.30044325279546,103.839442780042
139,ORCHARD PLAZA,150 ORCHARD ROAD ORCHARD PLAZA SINGAPORE 238841,1.30125729409965,103.841150144584
140,ORCHARD TOWERS,1 CLAYMORE DRIVE ORCHARD TOWERS SINGAPORE 229594,1.30758079522771,103.829476735628
141,ORCHARDGATEWAY,277 ORCHARD ROAD JEN SINGAPORE ORCHARDGATEWAY BY SHANGRI-LA SINGAPORE 238858,1.30048912114759,103.839325098352
142,OUR TAMPINES HUB,1 TAMPINES WALK HAWKER CENTRE @ OUR TAMPINES HUB SINGAPORE 528523,1.35354740485205,103.940381104547
143,PALAIS RENAISSANCE,390 ORCHARD ROAD PALAIS RENAISSANCE SINGAPORE 238871,1.30665484543191,103.829588045188
144,PARAGON SHOPPING CENTRE,368 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159952,1.28893477974497,103.805607779399
146,PARKWAY PARADE,80 MARINE PARADE ROAD CATHAY CINEPLEX PARKWAY PARADE SINGAPORE 449269,1.30091736056425,103.90533928065
148,PASIR RIS MALL,7 PASIR RIS CENTRAL PASIR RIS MALL SINGAPORE 519612,1.37382437779468,103.948748873616
149,PASIR RIS WEST PLAZA,734 PASIR RIS STREET 72 PASIR RIS WEST PLAZA SINGAPORE 510734,1.37976754317116,103.936207567321
150,PAYA LEBAR SQUARE,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051,1.31881487007651,103.892580778514
152,PENINSULA PLAZA,111 NORTH BRIDGE ROAD PENINSULA PLAZA SINGAPORE 179098,1.29231742228801,103.850803179769
153,PENINSULA SHOPPING COMPLEX SINGAPORE,3 COLEMAN STREET PENINSULA SHOPPING COMPLEX SINGAPORE 179804,1.29180789601988,103.850272637854
154,PEOPLE'S PARK CENTRE,101 UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058357,1.28577009981805,103.843980122838
155,PEOPLE'S PARK COMPLEX,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,1.28413397178419,103.842519972666
156,PIONEER MALL,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638,1.34169239214292,103.697174842118
157,PLANTATION PLAZA,127 PLANTATION CRESCENT PLANTATION PLAZA SINGAPORE 690127,1.35759319436135,103.734174851203
158,PLAZA SINGAPURA,68 ORCHARD ROAD PLAZA SINGAPURA SINGAPORE 238839,1.30074770963916,103.845047573431
160,PLQ MALL,10 PAYA LEBAR ROAD PLQ MALL SINGAPORE 409057,1.31756115921,103.892836694432
162,PUNGGOL COAST MALL,98 PUNGGOL WAY PUNGGOL COAST MALL SINGAPORE 829857,1.41470557625612,103.912635422712
163,PUNGGOL PLAZA,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,1.39423719717117,103.913047323223
164,QUEENSWAY SHOPPING CENTRE,1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053,1.28759518939869,103.803397287789
166,RAFFLES CITY,252 NORTH BRIDGE ROAD RAFFLES CITY SHOPPING CENTRE SINGAPORE 179103,1.29389357863312,103.853119904656
167,RAIL MALL,394 UPPER BUKIT TIMAH ROAD THE RAIL MALL SINGAPORE 678047,1.35801064169323,103.7679353154
168,RIVERVALE MALL,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082,1.39219777838449,103.904471600025
169,RIVERVALE PLAZA,118 RIVERVALE DRIVE RIVERVALE PLAZA SINGAPORE 540118,1.38533736107771,103.901841044122
170,ROCHESTER MALL,35 ROCHESTER DRIVE ROCHESTER MALL SINGAPORE 138639,1.30540765569962,103.788446680148
171,ROXY SQUARE,50 EAST COAST ROAD ROXY SQUARE SINGAPORE 428769,1.30432599904899,103.904051120306
172,SCOTTS SQUARE,6 SCOTTS ROAD SCOTTS SQUARE SINGAPORE 228209,1.30579942993543,103.833074706219
174,SELETAR MALL,33 SENGKANG WEST AVENUE THE SELETAR MALL SINGAPORE 797653,1.39147015374628,103.876125507257
175,SEMBAWANG SHOPPING CENTRE,604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,1.44182470675733,103.824845207237
177,SENGKANG GRAND MALL,86 COMPASSVALE BOW SENGKANG GRAND MALL SINGAPORE 544573,1.38315193616746,103.892295809097
178,SHAW HOUSE AND CENTRE,1 OLD PARLIAMENT LANE FORMER PARLIAMENT HOUSE AND ANNEX BUILDING SINGAPORE 179429,1.28868822638874,103.851117733194
179,SIM LIM SQUARE,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,1.3030242605718,103.853037814067
180,SINGAPORE SHOPPING CENTRE,190 CLEMENCEAU AVENUE SINGAPORE SHOPPING CENTRE SINGAPORE 239924,1.29815265394505,103.844111318107
181,SINGPOST CENTRE,10 EUNOS ROAD 8 SINGAPORE POST CENTRE SINGAPORE 408600,1.31899666903663,103.894894915962
182,SOUTH BEACH,30 BEACH ROAD JW MARRIOTT SINGAPORE SOUTH BEACH SINGAPORE 189763,1.29468701742485,103.855528738059
183,SQUARE 2,10 SINARAN DRIVE SQUARE 2 SINGAPORE 307506,1.32070510956845,103.844160709661
184,SUN PLAZA,30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713,1.44819535371132,103.819502127155
185,SUNSHINE PLACE,475 CHOA CHU KANG AVENUE 3 SUNSHINE PLACE SINGAPORE 680475,1.37789727599928,103.739015486021
186,SUNSHINE PLAZA,91 BENCOOLEN STREET SUNSHINE PLAZA SINGAPORE 189652,1.30034762081549,103.851046168708
187,SUNTEC CITY,3 TEMASEK BOULEVARD GOLDEN VILLAGE (GV SUNTEC CITY) SINGAPORE 038983,1.29485990186642,103.860333693777
189,SUNTEC CITY MALL,3 TEMASEK BOULEVARD SUNTEC CITY MALL SINGAPORE 038983,1.29593189477195,103.859014406736
190,TAMAN JURONG SHOPPING CENTRE,399 YUNG SHENG ROAD TAMAN JURONG SHOPPING CENTRE SINGAPORE 610399,1.33484487416514,103.720462024278
191,TAMPINES 1,203 TAMPINES STREET 21 PCF TAMPINES EAST 3-IN-1 FAMILY CENTRE (STUDENT CARE) SINGAPORE 520203,1.3522279450458,103.952437443086
192,TAMPINES MALL,4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510,1.35252737278519,103.944698751072
194,TANG PLAZA,320 ORCHARD ROAD SINGAPORE MARRIOTT TANG PLAZA HOTEL SINGAPORE 238865,1.30502562565776,103.832957478209
